Image_ID,ARE,RMSE,delta<1.25,delta<1.25^2,Inference_Time(s)
10,0.08241358,0.3612215,0.9751027866605756,0.9833257195066241,8.5061
11,0.08366805,0.37218505,0.9754474529600734,0.9834786599357503,8.3223
12,0.085743934,0.3692679,0.9760244115082825,0.983435047951177,8.6742
13,0.091717035,0.38494697,0.976403757920035,0.981865850994101,8.8401
14,0.09051189,0.38758448,0.9748193562513685,0.9822640683161813,11.4409
15,0.09573624,0.38867867,0.9695509309967141,0.9765607886089814,12.2417
16,0.09293231,0.39588836,0.9746864310148232,0.9815279361459521,11.7992
17,0.08064792,0.3552063,0.9765696087352138,0.9849863512283894,11.8113
18,0.08141317,0.35400173,0.976738882554162,0.9858608893956671,11.8292
19,0.081828654,0.35558,0.9755930656934306,0.9872262773722628,12.2069
1,0.06615366,0.32522762,0.9801097393689986,0.9913122999542753,12.1917
20,0.08022944,0.35562465,0.9755819260611592,0.9867640346873574,12.5626
21,0.07489751,0.35211998,0.9753255654557916,0.9888051176604981,12.5033
22,0.06355525,0.34487808,0.9756041426927503,0.9933256616800921,12.4732
23,0.063261926,0.35270047,0.9747184555274649,0.9919558722132843,12.1126
24,0.061647028,0.35386428,0.9747300712152539,0.9917298414886285,12.0592
25,0.05939263,0.3403346,0.978984238178634,0.9934325744308231,11.9809
26,0.06950772,0.4021504,0.9738951225097321,0.9890084726356767,11.9203
27,0.060886644,0.3680202,0.9777434993389158,0.990304098721904,11.9496
28,0.061988015,0.35251066,0.9818724185406149,0.9963285910968334,12.0136
29,0.06393013,0.3567896,0.9815455594002307,0.9949250288350634,11.9797
2,0.06886843,0.32985938,0.9796478390121198,0.9915389892522296,12.4784
30,0.06561177,0.3747245,0.9772198977219898,0.992794049279405,12.3108
31,0.07362487,0.4326221,0.966535887375952,0.9877682898684514,12.262
32,0.06556949,0.37910783,0.9756209751609936,0.9912603495860166,12.2173
33,0.06617487,0.38480735,0.9757785467128027,0.9914648212226067,12.1569
34,0.06426839,0.332483,0.9855139112439641,0.9970108070820879,12.1852
35,0.06573197,0.3308076,0.9843929309157677,0.9981638742253844,12.0518
36,0.06295239,0.3140532,0.9855367231638418,0.9988700564971752,12.0238
37,0.061833613,0.31125355,0.9854284471509351,0.9989125706829056,11.9935
38,0.06004655,0.3014796,0.9886993130955019,0.9988920895191669,12.3368
39,0.058061898,0.29355702,0.9894640403114979,0.9986257443884563,12.1749
3,0.0678613,0.32877195,0.9780771865722768,0.990180406485499,12.0304
40,0.060539495,0.3105083,0.9860284012826386,0.9983967017865323,11.9971
41,0.062559254,0.3238443,0.9848171152518979,0.9976995629169543,11.815
42,0.063762486,0.33879375,0.9836744079098644,0.9967808691653254,12.2532
43,0.06312493,0.36367288,0.9769372693726938,0.9923892988929889,12.5521
44,0.06462191,0.3593037,0.9771626297577855,0.994002306805075,11.9752
45,0.06343995,0.34727457,0.9790852677545392,0.9951735233279706,11.9391
46,0.06262232,0.3439657,0.9797141539880129,0.9951590594744122,11.96
47,0.06298691,0.34562603,0.979445727482679,0.9956120092378753,11.8871
48,0.063080296,0.34906927,0.9785714285714285,0.9944700460829493,11.7752
49,0.064390756,0.35005787,0.9795166858457998,0.9942462600690449,11.8594
4,0.07061421,0.33933347,0.9787816563997263,0.9906456764772986,11.8904
50,0.05986275,0.32743794,0.9834330418775886,0.9970087436723424,11.9007
51,0.061679516,0.33109805,0.9825005756389592,0.9970066774119273,11.8804
52,0.05918991,0.32814586,0.9832415059687787,0.9974747474747475,11.8115
53,0.06252704,0.326004,0.9805870117864571,0.9956089669516986,11.8182
54,0.06836565,0.33721748,0.9795402298850575,0.9940229885057471,11.9299
55,0.061878048,0.32383823,0.9807206793665366,0.9954096855634611,11.9603
56,0.06328517,0.3300895,0.9804822043628014,0.9947187141216992,12.1451
57,0.062242046,0.32669193,0.9816260909508497,0.99632521819017,12.0727
58,0.068532154,0.3339881,0.977355901189387,0.9926806953339433,11.8765
59,0.07507564,0.33912995,0.978290676416819,0.9890310786106032,11.9046
5,0.074580364,0.3438667,0.9792,0.9901714285714286,11.8965
60,0.07858401,0.35303003,0.9769879243563454,0.9874686716791979,11.8758
61,0.07873993,0.3637915,0.9735823274880437,0.9877021179685721,11.797
62,0.07888288,0.3635502,0.9717604190389433,0.9877021179685721,11.7406
63,0.08280996,0.35337144,0.9764947512551346,0.9849383842994066,11.8944
64,0.08564358,0.3648117,0.9758652094717668,0.9847449908925319,11.9541
65,0.08891823,0.39023778,0.9753312014618547,0.9837825491091823,11.7503
66,0.09124548,0.3985625,0.975676290065924,0.9815867242555126,11.7714
67,0.090347596,0.40316728,0.9760820045558086,0.9810933940774488,11.7974
68,0.09319306,0.42971173,0.9735220269344899,0.9824241040858251,11.7111
69,0.094733045,0.43713197,0.9733424470266575,0.9797220323536113,11.9052
6,0.08060629,0.3622068,0.9748743718592965,0.9867519415258109,11.8281
70,0.108435,0.48776063,0.9524329042112154,0.967924939995636,12.3564
71,0.10282215,0.47245386,0.958997722095672,0.9740318906605923,12.1911
72,0.10576561,0.48569816,0.9605710401087696,0.9689553591661002,11.7166
73,0.10801831,0.47736293,0.9597269624573379,0.9665529010238908,11.9224
74,0.11393611,0.4974524,0.9558388345094468,0.9628955155929888,11.9928
75,0.11313105,0.49914035,0.9556515806231521,0.9622469865817603,12.1578
76,0.10885824,0.49216375,0.9551763367463026,0.9654152445961319,11.7986
77,0.11193105,0.48907837,0.9551763367463026,0.963367463026166,11.8825
7,0.079480685,0.3645074,0.9753761969904241,0.9867761057911537,11.8602
8,0.08074746,0.3524401,0.9781221513217867,0.9856426618049225,11.8679
9,0.080303825,0.34667104,0.9781121751025992,0.9856361149110807,11.9204
