image_index,inference_start,inference_end,inference_duration_sec
1,2026-02-03T13:23:08.311666,2026-02-03T13:23:08.710892,0.399226
2,2026-02-03T13:23:14.385467,2026-02-03T13:23:14.711211,0.325744
3,2026-02-03T13:23:14.827642,2026-02-03T13:23:15.146935,0.319293
4,2026-02-03T13:23:15.373587,2026-02-03T13:23:15.690097,0.31651
5,2026-02-03T13:23:15.832456,2026-02-03T13:23:16.149227,0.316771
6,2026-02-03T13:23:16.294584,2026-02-03T13:23:16.613224,0.31864
7,2026-02-03T13:23:16.728561,2026-02-03T13:23:17.051355,0.322794
8,2026-02-03T13:23:17.196480,2026-02-03T13:23:17.520580,0.3241
9,2026-02-03T13:23:17.669839,2026-02-03T13:23:18.005145,0.335306
10,2026-02-03T13:23:18.223804,2026-02-03T13:23:18.541801,0.317997
11,2026-02-03T13:23:18.660478,2026-02-03T13:23:18.981871,0.321393
12,2026-02-03T13:23:24.181405,2026-02-03T13:23:24.543352,0.361947
13,2026-02-03T13:23:24.701650,2026-02-03T13:23:25.064765,0.363115
14,2026-02-03T13:23:25.292997,2026-02-03T13:23:25.621254,0.328257
15,2026-02-03T13:23:25.769415,2026-02-03T13:23:26.098213,0.328798
16,2026-02-03T13:23:26.234724,2026-02-03T13:23:26.560607,0.325883
17,2026-02-03T13:23:26.703026,2026-02-03T13:23:27.039391,0.336365
18,2026-02-03T13:23:27.179932,2026-02-03T13:23:27.517762,0.33783
19,2026-02-03T13:23:27.728223,2026-02-03T13:23:28.058337,0.330114
20,2026-02-03T13:23:28.203896,2026-02-03T13:23:28.539168,0.335272
21,2026-02-03T13:23:28.669246,2026-02-03T13:23:29.006353,0.337107
22,2026-02-03T13:23:34.478598,2026-02-03T13:23:34.943212,0.464614
23,2026-02-03T13:23:35.120265,2026-02-03T13:23:35.497918,0.377653
24,2026-02-03T13:23:35.734874,2026-02-03T13:23:36.069353,0.334479
25,2026-02-03T13:23:36.211414,2026-02-03T13:23:36.552460,0.341046
26,2026-02-03T13:23:36.677838,2026-02-03T13:23:37.027757,0.349919
27,2026-02-03T13:23:37.145167,2026-02-03T13:23:37.493375,0.348208
28,2026-02-03T13:23:37.610466,2026-02-03T13:23:37.959967,0.349501
29,2026-02-03T13:23:38.078292,2026-02-03T13:23:38.434786,0.356494
30,2026-02-03T13:23:38.690179,2026-02-03T13:23:39.029308,0.339129
31,2026-02-03T13:23:44.772553,2026-02-03T13:23:45.127362,0.354809
32,2026-02-03T13:23:45.245208,2026-02-03T13:23:45.594846,0.349638
33,2026-02-03T13:23:45.716741,2026-02-03T13:23:46.068661,0.35192
34,2026-02-03T13:23:46.220397,2026-02-03T13:23:46.718904,0.498507
35,2026-02-03T13:23:46.979819,2026-02-03T13:23:47.473873,0.494054
36,2026-02-03T13:23:47.622392,2026-02-03T13:23:47.997719,0.375327
37,2026-02-03T13:23:48.121667,2026-02-03T13:23:48.527295,0.405628
38,2026-02-03T13:23:48.699676,2026-02-03T13:23:49.170924,0.471248
39,2026-02-03T13:23:55.532067,2026-02-03T13:23:55.875071,0.343004
40,2026-02-03T13:23:56.114443,2026-02-03T13:23:56.600611,0.486168
41,2026-02-03T13:23:56.734606,2026-02-03T13:23:57.274458,0.539852
42,2026-02-03T13:23:57.459181,2026-02-03T13:23:58.017175,0.557994
43,2026-02-03T13:23:58.185822,2026-02-03T13:23:58.700802,0.51498
44,2026-02-03T13:23:58.941425,2026-02-03T13:23:59.424094,0.482669
45,2026-02-03T13:24:05.639986,2026-02-03T13:24:06.012093,0.372107
46,2026-02-03T13:24:06.140782,2026-02-03T13:24:06.502040,0.361258
47,2026-02-03T13:24:06.633547,2026-02-03T13:24:06.988664,0.355117
48,2026-02-03T13:24:07.133221,2026-02-03T13:24:07.558631,0.42541
49,2026-02-03T13:24:07.706971,2026-02-03T13:24:08.135618,0.428647
50,2026-02-03T13:24:08.356585,2026-02-03T13:24:08.729617,0.373032
51,2026-02-03T13:24:08.890651,2026-02-03T13:24:09.258742,0.368091
52,2026-02-03T13:24:09.408935,2026-02-03T13:24:09.782124,0.373189
53,2026-02-03T13:24:15.792773,2026-02-03T13:24:16.141179,0.348406
54,2026-02-03T13:24:16.286297,2026-02-03T13:24:16.682074,0.395777
55,2026-02-03T13:24:16.925845,2026-02-03T13:24:17.293755,0.36791
56,2026-02-03T13:24:17.444333,2026-02-03T13:24:17.870736,0.426403
57,2026-02-03T13:24:18.011793,2026-02-03T13:24:18.506850,0.495057
58,2026-02-03T13:24:18.648464,2026-02-03T13:24:19.020477,0.372013
59,2026-02-03T13:24:19.158929,2026-02-03T13:24:19.528361,0.369432
60,2026-02-03T13:24:19.771336,2026-02-03T13:24:20.139606,0.36827
61,2026-02-03T13:24:25.579161,2026-02-03T13:24:25.931571,0.35241
62,2026-02-03T13:24:26.112679,2026-02-03T13:24:26.539422,0.426743
63,2026-02-03T13:24:26.685942,2026-02-03T13:24:27.059220,0.373278
64,2026-02-03T13:24:27.306074,2026-02-03T13:24:27.702235,0.396161
65,2026-02-03T13:24:27.909493,2026-02-03T13:24:28.375982,0.466489
66,2026-02-03T13:24:28.537521,2026-02-03T13:24:28.930033,0.392512
67,2026-02-03T13:24:29.083573,2026-02-03T13:24:29.520825,0.437252
68,2026-02-03T13:24:29.663724,2026-02-03T13:24:30.037264,0.37354
69,2026-02-03T13:24:30.190801,2026-02-03T13:24:30.558467,0.367666
70,2026-02-03T13:24:36.170937,2026-02-03T13:24:36.513239,0.342302
71,2026-02-03T13:24:36.652680,2026-02-03T13:24:37.073895,0.421215
72,2026-02-03T13:24:37.232960,2026-02-03T13:24:37.606205,0.373245
73,2026-02-03T13:24:37.752220,2026-02-03T13:24:38.199204,0.446984
74,2026-02-03T13:24:38.318524,2026-02-03T13:24:38.763398,0.444874
75,2026-02-03T13:24:38.979141,2026-02-03T13:24:39.334938,0.355797
76,2026-02-03T13:24:39.503454,2026-02-03T13:24:40.004733,0.501279
77,2026-02-03T13:24:40.177149,2026-02-03T13:24:40.756914,0.579765
