img_idx,a,b,equation,infer_time
1,4.333349380217377,1.5663994117958575,y = 4.3333 * x + 1.5664,5.9147
2,4.333349380217377,1.5663994117958575,y = 4.3333 * x + 1.5664,0.3326
3,4.333349380217377,1.5663994117958575,y = 4.3333 * x + 1.5664,0.3266
4,4.333349380217377,1.5663994117958575,y = 4.3333 * x + 1.5664,0.3248
5,4.333349380217377,1.5663994117958575,y = 4.3333 * x + 1.5664,0.324
6,4.333349380217377,1.5663994117958575,y = 4.3333 * x + 1.5664,0.3255
7,4.333349380217377,1.5663994117958575,y = 4.3333 * x + 1.5664,0.3294
8,4.333349380217377,1.5663994117958575,y = 4.3333 * x + 1.5664,0.3306
9,4.333349380217377,1.5663994117958575,y = 4.3333 * x + 1.5664,0.342
10,4.333349380217377,1.5663994117958575,y = 4.3333 * x + 1.5664,0.3254
11,5.254587380186056,0.8446055350936454,y = 5.2546 * x + 0.8446,5.3729
12,5.254587380186056,0.8446055350936454,y = 5.2546 * x + 0.8446,0.3688
13,5.254587380186056,0.8446055350936454,y = 5.2546 * x + 0.8446,0.3712
14,5.254587380186056,0.8446055350936454,y = 5.2546 * x + 0.8446,0.3354
15,5.254587380186056,0.8446055350936454,y = 5.2546 * x + 0.8446,0.3359
16,5.254587380186056,0.8446055350936454,y = 5.2546 * x + 0.8446,0.3333
17,5.254587380186056,0.8446055350936454,y = 5.2546 * x + 0.8446,0.3435
18,5.254587380186056,0.8446055350936454,y = 5.2546 * x + 0.8446,0.3444
19,5.254587380186056,0.8446055350936454,y = 5.2546 * x + 0.8446,0.3376
20,5.254587380186056,0.8446055350936454,y = 5.2546 * x + 0.8446,0.344
21,4.3050821295400326,1.249659526198804,y = 4.3051 * x + 1.2497,5.6504
22,4.3050821295400326,1.249659526198804,y = 4.3051 * x + 1.2497,0.4724
23,4.3050821295400326,1.249659526198804,y = 4.3051 * x + 1.2497,0.3859
24,4.3050821295400326,1.249659526198804,y = 4.3051 * x + 1.2497,0.3434
25,4.3050821295400326,1.249659526198804,y = 4.3051 * x + 1.2497,0.3485
26,4.3050821295400326,1.249659526198804,y = 4.3051 * x + 1.2497,0.3576
27,4.3050821295400326,1.249659526198804,y = 4.3051 * x + 1.2497,0.3555
28,4.3050821295400326,1.249659526198804,y = 4.3051 * x + 1.2497,0.3569
29,4.3050821295400326,1.249659526198804,y = 4.3051 * x + 1.2497,0.3639
30,3.850772543148006,1.503143458084812,y = 3.8508 * x + 1.5031,5.9326
31,3.850772543148006,1.503143458084812,y = 3.8508 * x + 1.5031,0.3624
32,3.850772543148006,1.503143458084812,y = 3.8508 * x + 1.5031,0.357
33,3.850772543148006,1.503143458084812,y = 3.8508 * x + 1.5031,0.3595
34,3.850772543148006,1.503143458084812,y = 3.8508 * x + 1.5031,0.5069
35,3.850772543148006,1.503143458084812,y = 3.8508 * x + 1.5031,0.5023
36,3.850772543148006,1.503143458084812,y = 3.8508 * x + 1.5031,0.3837
37,3.850772543148006,1.503143458084812,y = 3.8508 * x + 1.5031,0.4151
38,3.907638736747197,1.626913585359382,y = 3.9076 * x + 1.6269,6.7062
39,3.907638736747197,1.626913585359382,y = 3.9076 * x + 1.6269,0.3514
40,3.907638736747197,1.626913585359382,y = 3.9076 * x + 1.6269,0.494
41,3.907638736747197,1.626913585359382,y = 3.9076 * x + 1.6269,0.5486
