image_index,timestamp,target_u,target_v,target_tilt_rad,target_pan_rad,actual_tilt_rad,actual_pan_rad,point_index,lidar_distance,camera_depth,midas_rel_depth,real_u,real_v,uncertainty,sequence_duration_sec
1,2026-02-03T13:14:27.363648,67,418,1.8366804108745258,1.9958660422431505,1.8377089838869982,1.9941750242513334,0,1.83,1.5388818102463557,0.08616453409194946,75.80953097001662,434.30314064451494,0.0,3.859561
1,2026-02-03T13:14:27.698045,46,410,1.8217356381117502,2.0222888176189167,1.8223691760081417,2.0202526976453896,1,1.82,1.5198675387364848,0.1160845160484314,55.448221117999466,425.80122427672677,0.0,3.859561
1,2026-02-03T13:14:27.959648,44,404,1.813589175561412,2.024410323093911,1.8146992720687134,2.021786678433275,2,1.82,1.5223828591228954,0.29447227716445923,53.99286171410955,420.2902786806616,0.0,3.859561
1,2026-02-03T13:14:28.322021,71,417,1.8362834299960953,1.9905846269987446,1.8377089838869982,1.9911070626755623,3,1.83,1.5408939969033852,0.08494603633880615,78.09862604480463,433.94782260455105,0.0,3.859561
1,2026-02-03T13:14:28.786185,155,455,1.903309191192245,1.8797446235192699,1.9036701577660806,1.880660445947796,4,2.1,1.8076214250570897,0.012421488761901855,161.01500073036016,474.198495314195,0.0,3.859561
1,2026-02-03T13:14:29.043702,160,451,1.8992201487513065,1.872379020972822,1.9006021961903095,1.872990542008368,5,2.1,1.8138352264094708,0.014553189277648926,166.12999851528323,471.1383403493766,0.0,3.859561
1,2026-02-03T13:14:29.410065,139,433,1.8716476898326275,1.9002170909121516,1.8745245227962535,1.897534234614538,6,2.07,1.7916207204502457,0.03237646818161011,148.06096580657234,454.1808656802099,0.14191389083862305,3.859561
1,2026-02-03T13:14:29.889216,245,455,1.919833977068146,1.749810144313129,1.9220779272207085,1.7502720789775166,7,2.17,1.9101112238926077,0.05972433090209961,248.64147063127382,476.7592985722357,0.10803228616714478,3.859561
10,2026-02-03T13:14:36.624525,77,414,1.8337318349943352,1.9825084435282023,1.8346410223112268,1.9803691971603627,0,1.83,1.5493693640649218,0.022613823413848877,85.94742813730338,430.4650151757284,0.0,3.156632
10,2026-02-03T13:14:37.024766,39,404,1.8124891911140766,2.030740424563573,1.8131652912808278,2.0279226015848177,1,1.8,1.5011525489539843,0.047659218311309814,49.0455285292437,419.51073092290795,0.0,3.156632
10,2026-02-03T13:14:37.265375,45,400,1.8086519255729085,2.022860187786629,1.8100973297050567,2.0233206592211608,2,1.81,1.5145901805124824,0.07647448778152466,52.56063966938379,416.8856346243717,0.0,3.156632
