image_index,inference_start,inference_end,inference_duration_sec
1,2026-02-03T13:14:23.737548,2026-02-03T13:14:24.150970,0.413422
2,2026-02-03T13:14:30.050618,2026-02-03T13:14:30.367627,0.317009
3,2026-02-03T13:14:30.503424,2026-02-03T13:14:30.829584,0.32616
4,2026-02-03T13:14:30.937319,2026-02-03T13:14:31.254380,0.317061
5,2026-02-03T13:14:31.493271,2026-02-03T13:14:31.809228,0.315957
6,2026-02-03T13:14:31.952505,2026-02-03T13:14:32.317469,0.364964
7,2026-02-03T13:14:32.450526,2026-02-03T13:14:32.764056,0.31353
8,2026-02-03T13:14:32.908147,2026-02-03T13:14:33.270600,0.362453
9,2026-02-03T13:14:33.405562,2026-02-03T13:14:33.825272,0.41971
10,2026-02-03T13:14:33.940162,2026-02-03T13:14:34.272627,0.332465
11,2026-02-03T13:14:39.411282,2026-02-03T13:14:39.738723,0.327441
12,2026-02-03T13:14:39.970577,2026-02-03T13:14:40.289777,0.3192
13,2026-02-03T13:14:40.421868,2026-02-03T13:14:40.903820,0.481952
14,2026-02-03T13:14:41.041819,2026-02-03T13:14:41.473475,0.431656
15,2026-02-03T13:14:41.579895,2026-02-03T13:14:41.967426,0.387531
16,2026-02-03T13:14:42.078229,2026-02-03T13:14:42.424030,0.345801
17,2026-02-03T13:14:42.647940,2026-02-03T13:14:43.029936,0.381996
18,2026-02-03T13:14:43.154774,2026-02-03T13:14:43.506101,0.351327
19,2026-02-03T13:14:43.645282,2026-02-03T13:14:43.983319,0.338037
20,2026-02-03T13:14:44.113497,2026-02-03T13:14:44.453002,0.339505
21,2026-02-03T13:14:50.536272,2026-02-03T13:14:51.010342,0.47407
22,2026-02-03T13:14:51.144723,2026-02-03T13:14:51.535414,0.390691
23,2026-02-03T13:14:51.652491,2026-02-03T13:14:52.009831,0.35734
24,2026-02-03T13:14:52.238257,2026-02-03T13:14:52.568102,0.329845
25,2026-02-03T13:14:52.687525,2026-02-03T13:14:53.034180,0.346655
26,2026-02-03T13:14:53.153061,2026-02-03T13:14:53.502918,0.349857
27,2026-02-03T13:14:53.628481,2026-02-03T13:14:54.037706,0.409225
28,2026-02-03T13:14:54.154554,2026-02-03T13:14:54.502629,0.348075
29,2026-02-03T13:15:00.031353,2026-02-03T13:15:00.406846,0.375493
30,2026-02-03T13:15:00.520672,2026-02-03T13:15:00.876345,0.355673
31,2026-02-03T13:15:01.091624,2026-02-03T13:15:01.538152,0.446528
32,2026-02-03T13:15:01.662466,2026-02-03T13:15:02.116127,0.453661
33,2026-02-03T13:15:02.222668,2026-02-03T13:15:02.757250,0.534582
34,2026-02-03T13:15:02.897342,2026-02-03T13:15:03.384504,0.487162
35,2026-02-03T13:15:03.522025,2026-02-03T13:15:03.874975,0.35295
36,2026-02-03T13:15:03.990449,2026-02-03T13:15:04.387105,0.396656
37,2026-02-03T13:15:04.648943,2026-02-03T13:15:04.999941,0.350998
38,2026-02-03T13:15:10.900710,2026-02-03T13:15:11.398718,0.498008
39,2026-02-03T13:15:11.549776,2026-02-03T13:15:11.903293,0.353517
40,2026-02-03T13:15:12.045861,2026-02-03T13:15:12.426369,0.380508
41,2026-02-03T13:15:12.571493,2026-02-03T13:15:13.130333,0.55884
42,2026-02-03T13:15:13.278549,2026-02-03T13:15:13.725007,0.446458
43,2026-02-03T13:15:13.898577,2026-02-03T13:15:14.342752,0.444175
44,2026-02-03T13:15:14.557149,2026-02-03T13:15:14.914394,0.357245
45,2026-02-03T13:15:15.037305,2026-02-03T13:15:15.460814,0.423509
46,2026-02-03T13:15:21.411427,2026-02-03T13:15:21.746508,0.335081
47,2026-02-03T13:15:21.872039,2026-02-03T13:15:22.226645,0.354606
48,2026-02-03T13:15:22.346474,2026-02-03T13:15:22.821361,0.474887
49,2026-02-03T13:15:22.961147,2026-02-03T13:15:23.384756,0.423609
50,2026-02-03T13:15:23.598099,2026-02-03T13:15:23.991079,0.39298
51,2026-02-03T13:15:24.141129,2026-02-03T13:15:24.652690,0.511561
52,2026-02-03T13:15:24.802527,2026-02-03T13:15:25.189520,0.386993
53,2026-02-03T13:15:25.301967,2026-02-03T13:15:25.794645,0.492678
54,2026-02-03T13:15:31.932195,2026-02-03T13:15:32.275593,0.343398
55,2026-02-03T13:15:32.410105,2026-02-03T13:15:32.778064,0.367959
56,2026-02-03T13:15:33.028641,2026-02-03T13:15:33.396091,0.36745
57,2026-02-03T13:15:33.516474,2026-02-03T13:15:34.026358,0.509884
58,2026-02-03T13:15:34.157216,2026-02-03T13:15:34.516933,0.359717
59,2026-02-03T13:15:34.644984,2026-02-03T13:15:35.130284,0.4853
60,2026-02-03T13:15:35.253744,2026-02-03T13:15:35.606231,0.352487
61,2026-02-03T13:15:35.743818,2026-02-03T13:15:36.266754,0.522936
62,2026-02-03T13:15:42.049605,2026-02-03T13:15:42.465596,0.415991
63,2026-02-03T13:15:42.699787,2026-02-03T13:15:43.260204,0.560417
64,2026-02-03T13:15:43.406582,2026-02-03T13:15:43.768749,0.362167
65,2026-02-03T13:15:43.901168,2026-02-03T13:15:44.277146,0.375978
66,2026-02-03T13:15:44.383393,2026-02-03T13:15:44.742230,0.358837
67,2026-02-03T13:15:44.851663,2026-02-03T13:15:45.219274,0.367611
68,2026-02-03T13:15:45.383400,2026-02-03T13:15:45.770778,0.387378
69,2026-02-03T13:15:45.986325,2026-02-03T13:15:46.459273,0.472948
70,2026-02-03T13:15:52.474403,2026-02-03T13:15:52.818429,0.344026
71,2026-02-03T13:15:52.959124,2026-02-03T13:15:53.350061,0.390937
