img_idx,a,b,equation,infer_time
1,-1.173099978743852,1.7834070265533875,y = -1.1731 * x + 1.7834,6.1814
2,-1.173099978743852,1.7834070265533875,y = -1.1731 * x + 1.7834,0.3236
3,-1.173099978743852,1.7834070265533875,y = -1.1731 * x + 1.7834,0.333
4,-1.173099978743852,1.7834070265533875,y = -1.1731 * x + 1.7834,0.3244
5,-1.173099978743852,1.7834070265533875,y = -1.1731 * x + 1.7834,0.3254
6,-1.173099978743852,1.7834070265533875,y = -1.1731 * x + 1.7834,0.3732
7,-1.173099978743852,1.7834070265533875,y = -1.1731 * x + 1.7834,0.3208
8,-1.173099978743852,1.7834070265533875,y = -1.1731 * x + 1.7834,0.3688
9,-1.173099978743852,1.7834070265533875,y = -1.1731 * x + 1.7834,0.4268
10,1.1481029539816805,1.496452653426246,y = 1.1481 * x + 1.4965,5.3211
11,1.1481029539816805,1.496452653426246,y = 1.1481 * x + 1.4965,0.3341
12,1.1481029539816805,1.496452653426246,y = 1.1481 * x + 1.4965,0.3265
13,1.1481029539816805,1.496452653426246,y = 1.1481 * x + 1.4965,0.4895
14,1.1481029539816805,1.496452653426246,y = 1.1481 * x + 1.4965,0.4383
15,1.1481029539816805,1.496452653426246,y = 1.1481 * x + 1.4965,0.3948
16,1.1481029539816805,1.496452653426246,y = 1.1481 * x + 1.4965,0.3533
17,1.1481029539816805,1.496452653426246,y = 1.1481 * x + 1.4965,0.389
18,1.1481029539816805,1.496452653426246,y = 1.1481 * x + 1.4965,0.3587
19,1.1481029539816805,1.496452653426246,y = 1.1481 * x + 1.4965,0.3464
20,-0.22837200832508422,1.7495998626122287,y = -0.2284 * x + 1.7496,6.2497
21,-0.22837200832508422,1.7495998626122287,y = -0.2284 * x + 1.7496,0.4808
22,-0.22837200832508422,1.7495998626122287,y = -0.2284 * x + 1.7496,0.398
23,-0.22837200832508422,1.7495998626122287,y = -0.2284 * x + 1.7496,0.3644
24,-0.22837200832508422,1.7495998626122287,y = -0.2284 * x + 1.7496,0.3369
25,-0.22837200832508422,1.7495998626122287,y = -0.2284 * x + 1.7496,0.3546
26,-0.22837200832508422,1.7495998626122287,y = -0.2284 * x + 1.7496,0.3572
27,-0.22837200832508422,1.7495998626122287,y = -0.2284 * x + 1.7496,0.4164
28,-3.0834805490593187,1.7603195586473634,y = -3.0835 * x + 1.7603,5.7584
29,-3.0834805490593187,1.7603195586473634,y = -3.0835 * x + 1.7603,0.3827
30,-3.0834805490593187,1.7603195586473634,y = -3.0835 * x + 1.7603,0.3628
31,-3.0834805490593187,1.7603195586473634,y = -3.0835 * x + 1.7603,0.4531
32,-3.0834805490593187,1.7603195586473634,y = -3.0835 * x + 1.7603,0.4601
33,-3.0834805490593187,1.7603195586473634,y = -3.0835 * x + 1.7603,0.5431
34,-3.0834805490593187,1.7603195586473634,y = -3.0835 * x + 1.7603,0.4951
35,-3.0834805490593187,1.7603195586473634,y = -3.0835 * x + 1.7603,0.3607
36,-3.0834805490593187,1.7603195586473634,y = -3.0835 * x + 1.7603,0.4044
