image_index,timestamp,target_u,target_v,target_tilt_rad,target_pan_rad,actual_tilt_rad,actual_pan_rad,point_index,lidar_distance,camera_depth,midas_rel_depth,real_u,real_v,uncertainty,sequence_duration_sec
1,2026-02-03T11:57:07.560896,603,450,1.9239041416641756,1.2308700783476099,1.9266798695843652,1.2287186110963986,0,2.41,1.9842991609096718,0.048261165618896484,595.389028501539,473.3560058990071,0.029296159744262695,5.386512
1,2026-02-03T11:57:08.280825,32,451,1.869917298333101,2.0427322882771763,1.8699225804325965,2.040194447887903,1,2.8,2.32308666486993,0.052170753479003906,47.647438332155325,474.78774623261666,0.019008100032806396,5.386512
1,2026-02-03T11:57:08.840065,516,404,1.8695934561572778,1.3433177013768431,1.8699225804325965,1.3437671701878218,2,2.77,2.442048647695142,0.35653525590896606,508.3927303127946,431.35974249150496,0.01801624894142151,5.386512
1,2026-02-03T11:57:09.450043,220,380,1.8149990546960064,1.7795367735418086,1.8162332528565992,1.7778837331594581,3,3.3,3.046680441417941,0.48384571075439453,227.78130202123415,412.8155965517503,0.017996028065681458,5.386512
1,2026-02-03T11:57:09.992236,420,395,1.856289066731662,1.4812138668300983,1.8576507341295114,1.4818254410975293,4,2.88,2.628505190016275,0.38898366689682007,416.4847545846153,424.84591864747745,0.013484060764312744,5.386512
1,2026-02-03T11:57:10.536437,600,356,1.8038505295052711,1.2245989126850758,1.8039614065535141,1.2256506495206272,5,3.45,2.99941333935114,0.7485713958740234,586.7451815629321,389.0995406801651,0.012601137161254883,5.386512
1,2026-02-03T11:57:11.161518,99,378,1.7907985707267973,1.9505002674982452,1.7916895602504288,1.9481556006147642,6,3.64,3.2421549139207504,0.47983336448669434,113.84364780714488,411.5395539502196,0.014955461025238037,5.386512
1,2026-02-03T11:57:11.705624,309,380,1.826892251996946,1.646519232330926,1.8269711183717987,1.6459613854012929,7,3.19,2.973577407481135,0.4988269805908203,311.4871635531116,411.7313521259838,0.014412403106689453,5.386512
7,2026-02-03T11:57:17.032706,92,380,1.7921069679164547,1.9600521667727457,1.7947575218262002,1.9573594853420782,0,3.63,3.2194529225519166,0.4479140639305115,107.49249185836449,414.52863518165054,0.029053032398223877,5.160785
7,2026-02-03T11:57:17.832445,396,24,1.3072573226442472,1.475885646947827,1.3084856120664519,1.4772234987338724,1,4.37,4.136303637802355,0.9026904702186584,392.71011570493425,81.50613267607694,0.01491597294807434,5.160785
7,2026-02-03T11:57:18.423534,442,425,1.8974248578781072,1.4520379617212404,1.897534234614538,1.4511458253398166,2,2.61,2.328976470533721,0.2736099362373352,438.6989684253629,450.3812490543375,0.013293862342834473,5.160785
7,2026-02-03T11:57:18.919856,603,404,1.8662284413687518,1.225904397446396,1.8668546188568254,1.227184630308513,3,2.79,2.363364835732011,0.442260205745697,591.1525565485053,430.9211595320052,0.013698488473892212,5.160785
7,2026-02-03T11:57:19.545006,222,388,1.826390381509098,1.7773490853292007,1.8269711183717987,1.7748157715836868,4,3.18,2.9250056319166893,0.4413564205169678,230.08322161080181,419.25978833968094,0.012587398290634155,5.160785
7,2026-02-03T11:57:20.375743,604,24,1.3472910171619088,1.1835148676351075,1.3499030933393643,1.184233168247715,5,4.03,3.524082334788548,0.8508276343345642,590.0139496151046,79.38878009084297,0.012012749910354614,5.160785
7,2026-02-03T11:57:20.857005,604,172,1.5507417381027264,1.1995369513607603,1.5493205957644975,1.1995729761265714,6,3.9,3.4916794255475843,0.8341022729873657,590.3178982189596,216.3418739892295,0.011498332023620605,5.160785
7,2026-02-03T11:57:21.656780,84,24,1.2890549495577284,1.9429547285309827,1.2900778426118242,1.9389517158874505,7,5.03,4.539068404638471,0.9682453870773315,102.51742965988801,82.99590269092361,0.011338643729686737,5.160785
13,2026-02-03T11:57:27.688772,566,420,1.8887431923549587,1.2764298499053721,1.88986433067511,1.2778059963087391,0,2.64,2.2575146300315376,0.3338558077812195,556.0788968595562,445.7127824254031,0.024518489837646484,5.234307
13,2026-02-03T11:57:28.184019,460,387,1.8466000131331277,1.4215045108463884,1.8484468494021975,1.418932228794218,1,2.99,2.711468552461135,0.5296555757522583,456.6219232706331,418.0711946341978,0.02331945300102234,5.234307
13,2026-02-03T11:57:28.809141,52,387,1.793243962091372,2.0130015893043187,1.7947575218262002,2.0110488129180757,2,3.61,3.132538807296806,0.39881300926208496,68.86867375802944,420.0359531610007,0.02727678418159485,5.234307
13,2026-02-03T11:57:29.369280,356,381,1.8328535413811673,1.5756119933859427,1.8331070415233413,1.576932249946439,3,3.15,2.92963222284716,0.549331545829773,354.9680943984764,412.6331654875508,0.01717066764831543,5.234307
13,2026-02-03T11:57:29.881487,167,382,1.80893227590044,1.8565010763587606,1.8100973297050567,1.8545827725537403,4,3.33,3.0302689001044034,0.4785054922103882,177.6449948559739,414.5508048864132,0.020856007933616638,5.234307
13,2026-02-03T11:57:30.632395,348,24,1.30060389514642,1.5489900864890096,1.3008157081270237,1.5493205957644975,5,4.33,4.119669778757971,0.9335795640945435,348.03100780793227,80.70079998660663,0.012684538960456848,5.234307
13,2026-02-03T11:57:31.322573,268,412,1.8660472324736503,1.7114087014207615,1.8668546188568254,1.7088545977046044,6,2.77,2.5267444335098417,0.310754656791687,273.46843000839,439.8083603200281,0.011640846729278564,5.234307
13,2026-02-03T11:57:32.056231,604,196,1.5843273466611376,1.2021335683813732,1.586136134673753,1.2026409377023426,7,4.41,3.959382133643176,0.8758993148803711,589.507862022351,243.3213701903446,0.008016534149646759,5.234307
19,2026-02-03T11:57:37.545059,584,396,1.8569158356039095,1.249852973686951,1.8576507341295114,1.2471263805510262,0,2.84,2.434843520799273,0.4241463541984558,575.7009798349362,424.0366509836032,0.043274104595184326,4.908918
19,2026-02-03T11:57:38.250038,47,386,1.7908936294464042,2.019329316014429,1.7916895602504288,2.017184736069618,1,3.62,3.1355789262317346,0.39650416374206543,64.25231469257287,418.56342107650323,0.03285852074623108,4.908918
19,2026-02-03T11:57:38.744264,212,388,1.824803843118852,1.7920231891710705,1.825437137583913,1.7916895602504288,2,3.18,2.9175209531179327,0.4420326352119446,219.16312555542152,419.4143101293962,0.025662392377853394,4.908918
19,2026-02-03T11:57:39.289463,474,386,1.8454787551408045,1.4010972309997793,1.846912868614312,1.402058440127476,3,2.94,2.656579921340853,0.4861757755279541,467.68920915547454,416.5054256645013,0.02464348077774048,4.908918
19,2026-02-03T11:57:39.738800,380,380,1.8332925519079504,1.5393470360933867,1.8346410223112268,1.5370487494614125,4,3.06,2.8357808277972656,0.5338582396507263,380.1315953855368,411.76489624859545,0.017741546034812927,4.908918
19,2026-02-03T11:57:40.473691,564,31,1.348178413834052,1.2363104103347495,1.3499030933393643,1.2363885150358267,5,3.97,3.549281516103917,0.8921629190444946,552.5568753214327,85.43535136282995,0.009835116565227509,4.908918
19,2026-02-03T11:57:41.161646,103,24,1.288532256104719,1.9165235187299297,1.2885438618239387,1.9144080232812801,6,5.12,4.6572984650000855,0.9715434312820435,119.15215062489169,82.676625370287,0.01081898808479309,4.908918
19,2026-02-03T11:57:41.897621,564,124,1.4779193784867617,1.2465751981074422,1.4772234987338724,1.2471263805510262,7,3.73,3.3975856745569937,0.8869103789329529,552.2837299631252,170.93360312951566,0.00862254947423935,4.908918
26,2026-02-03T11:57:49.105046,604,236,1.640182704085365,1.2064600683782019,1.6398254622497503,1.2072428800659996,0,4.57,4.096595705746365,0.7647817134857178,589.0194693046941,280.1028440136215,0.019140005111694336,5.771011
26,2026-02-03T11:57:49.553391,588,34,1.3572731074441393,1.2051372857906426,1.3575729972787924,1.205708899278114,1,3.98,3.5181223881221597,0.8036980032920837,574.8632967304674,87.16951557294048,0.018304139375686646,5.771011
26,2026-02-03T11:57:50.432120,79,421,1.8432046024099198,1.9804016377959281,1.8453788878264263,1.9788352163724772,2,2.97,2.5580837228379987,0.2629128694534302,92.73379592651204,449.62750463831145,0.017670631408691406,5.771011
26,2026-02-03T11:57:51.041137,526,401,1.865432782411361,1.329023857466698,1.8668546188568254,1.3299613430968509,3,2.78,2.443884850640005,0.40570366382598877,517.6681556775699,429.29177991764175,0.017630189657211304,5.771011
26,2026-02-03T11:57:51.489536,524,285,1.7054069445315307,1.318939834290865,1.7073206169167185,1.3192234775816514,4,4.24,3.9188287588731083,0.8011281490325928,514.2261441593639,327.1848319368871,0.016319915652275085,5.771011
26,2026-02-03T11:57:52.065722,602,140,1.5057674199271738,1.1986331815575277,1.5079031144915853,1.1995729761265714,5,3.78,3.3809233112115087,0.7799352407455444,588.1453112499546,187.90545650693122,0.015442192554473877,5.771011
26,2026-02-03T11:57:52.851614,284,436,1.9004271839356202,1.6898564923498787,1.902136176978195,1.6873788666742053,6,2.53,2.2749302287740543,0.1343868374824524,288.514320811007,461.47592835140284,0.013875424861907959,5.771011
26,2026-02-03T11:57:53.456851,428,289,1.7057517449783668,1.4576235528508272,1.705786636128833,1.4588157292792447,7,4.32,4.127191529143148,0.8428962826728821,422.88296164731895,330.458098702391,0.012731283903121948,5.771011
30,2026-02-03T11:57:58.434428,32,447,1.8649922494923772,2.042461836111741,1.8653206380689396,2.040194447887903,0,2.81,2.335527879142912,0.11939334869384766,47.51036575842345,471.3510385695185,0.02458721399307251,4.613739
30,2026-02-03T11:57:58.897686,135,412,1.8432978899781818,1.9040259347375839,1.8453788878264263,1.9052041385539664,1,3.0,2.653649394116353,0.2754817008972168,144.46331991741184,441.88241874426967,0.020232319831848145,4.613739
30,2026-02-03T11:57:59.745421,548,52,1.3738910124871158,1.2600959231512925,1.3744467859455345,1.260932207641997,2,3.86,3.496795013581424,0.8430948257446289,536.8945120223124,104.25423452192976,0.01453949511051178,4.613739
30,2026-02-03T11:58:00.229723,603,156,1.5282471445549501,1.199085349800795,1.5293788455219843,1.1995729761265714,3,3.9,3.492044265557128,0.805722177028656,589.1860063277494,202.95071143106654,0.013939648866653442,4.613739
30,2026-02-03T11:58:00.753923,604,395,1.8546311304498773,1.2236401805589916,1.8545827725537403,1.2210487071569704,4,2.9,2.4638800393125253,0.4128223657608032,594.6128101338201,422.73580033654275,0.014529019594192505,4.613739
30,2026-02-03T11:58:01.217252,604,244,1.6513104695317362,1.2073251775177392,1.6520973085528354,1.2087768608538851,5,4.5,4.029641944701777,0.7855395674705505,588.6717859463147,288.1993218388117,0.013175368309020996,4.613739
30,2026-02-03T11:58:01.794460,493,380,1.8374926386479409,1.3731706286589924,1.8377089838869982,1.371378824369763,6,3.07,2.7657216705246723,0.5132877230644226,487.4017112000668,410.63369696358956,0.013218894600868225,4.613739
30,2026-02-03T11:58:02.353644,516,188,1.5642950189302602,1.3192826986514683,1.5661943844312396,1.320757458369537,7,3.83,3.5857931193245247,0.8353341221809387,506.17409704174656,234.195100816075,0.01116691529750824,4.613739
37,2026-02-03T11:58:08.869093,44,411,1.822569729542757,2.0248987205625633,1.8239031567960273,2.0233206592211608,0,3.21,2.7379565779698125,0.4532691240310669,59.947142818702694,440.63125567441153,0.024869799613952637,5.073015
37,2026-02-03T11:58:09.538049,572,412,1.87816713276998,1.2675208022635942,1.8791264651599104,1.2686021115814252,1,2.7,2.3121907215451913,0.2958618402481079,561.8495009003101,438.4083226534721,0.02215254306793213,5.073015
37,2026-02-03T11:58:10.035276,256,420,1.875188590386464,1.7300972512350812,1.876058503584139,1.727262367159232,2,2.71,2.457051465238235,0.32012051343917847,262.12367602331216,446.95971408330774,0.017062604427337646,5.073015
37,2026-02-03T11:58:10.562519,150,376,1.7976715573172035,1.8800560075076043,1.7978254834019713,1.8775924843720249,3,3.51,3.189753412077489,0.591518759727478,162.08919136109785,408.90071199193085,0.017893865704536438,5.073015
37,2026-02-03T11:58:11.138737,348,426,1.8938779686847957,1.5924775286472757,1.894466273038767,1.5938060386131812,4,2.59,2.3444415971956043,0.26877617835998535,347.34831933217515,451.87022369874575,0.013422131538391113,5.073015
37,2026-02-03T11:58:11.941489,40,24,1.2909098271501191,2.0023300665111017,1.2916118233997098,2.000310947402876,5,4.86,4.284261775015844,0.9152352809906006,59.493174615008925,81.80269719190248,0.013307318091392517,5.073015
37,2026-02-03T11:58:12.497651,368,33,1.3161945228036112,1.519400603460473,1.3161555160058802,1.5201749607946704,6,4.42,4.212757935623265,0.8887630701065063,366.59673005047097,89.44548361346108,0.010691940784454346,5.073015
37,2026-02-03T11:58:13.172702,604,188,1.5731325323001248,1.2012680865457614,1.573864288370668,1.2026409377023426,7,4.04,3.6224136321966953,0.7589696049690247,589.2609806467467,233.6346647916171,0.009724020957946777,5.073015
