image_index,inference_start,inference_end,inference_duration_sec
1,2026-02-03T12:49:15.696341,2026-02-03T12:49:16.149622,0.453281
2,2026-02-03T12:49:23.762097,2026-02-03T12:49:24.072625,0.310528
3,2026-02-03T12:49:24.220076,2026-02-03T12:49:24.541310,0.321234
4,2026-02-03T12:49:24.684359,2026-02-03T12:49:25.097720,0.413361
5,2026-02-03T12:49:25.337816,2026-02-03T12:49:25.698272,0.360456
6,2026-02-03T12:49:25.820185,2026-02-03T12:49:26.239602,0.419417
7,2026-02-03T12:49:33.847338,2026-02-03T12:49:34.182401,0.335063
8,2026-02-03T12:49:34.357793,2026-02-03T12:49:34.665681,0.307888
9,2026-02-03T12:49:34.790345,2026-02-03T12:49:35.101272,0.310927
10,2026-02-03T12:49:35.239062,2026-02-03T12:49:35.558721,0.319659
11,2026-02-03T12:49:35.693487,2026-02-03T12:49:36.003264,0.309777
12,2026-02-03T12:49:36.220621,2026-02-03T12:49:36.538478,0.317857
13,2026-02-03T12:49:43.313456,2026-02-03T12:49:43.624187,0.310731
14,2026-02-03T12:49:43.768278,2026-02-03T12:49:44.088665,0.320387
15,2026-02-03T12:49:44.263857,2026-02-03T12:49:44.651074,0.387217
16,2026-02-03T12:49:44.775329,2026-02-03T12:49:45.228294,0.452965
17,2026-02-03T12:49:45.370951,2026-02-03T12:49:45.879896,0.508945
18,2026-02-03T12:49:46.107589,2026-02-03T12:49:46.559829,0.45224
19,2026-02-03T12:49:53.772253,2026-02-03T12:49:54.162215,0.389962
20,2026-02-03T12:49:54.308552,2026-02-03T12:49:54.747649,0.439097
21,2026-02-03T12:49:54.885739,2026-02-03T12:49:55.225250,0.339511
22,2026-02-03T12:49:55.341896,2026-02-03T12:49:55.676939,0.335043
23,2026-02-03T12:49:55.809979,2026-02-03T12:49:56.182096,0.372117
24,2026-02-03T12:49:56.333799,2026-02-03T12:49:56.781142,0.447343
25,2026-02-03T12:50:03.628843,2026-02-03T12:50:04.094156,0.465313
26,2026-02-03T12:50:04.309216,2026-02-03T12:50:04.633046,0.32383
27,2026-02-03T12:50:04.751011,2026-02-03T12:50:05.205984,0.454973
28,2026-02-03T12:50:05.353805,2026-02-03T12:50:05.774441,0.420636
29,2026-02-03T12:50:05.917459,2026-02-03T12:50:06.244113,0.326654
30,2026-02-03T12:50:06.384885,2026-02-03T12:50:06.842190,0.457305
31,2026-02-03T12:50:14.636008,2026-02-03T12:50:14.959977,0.323969
32,2026-02-03T12:50:15.092008,2026-02-03T12:50:15.415767,0.323759
33,2026-02-03T12:50:15.560811,2026-02-03T12:50:15.886919,0.326108
34,2026-02-03T12:50:16.159958,2026-02-03T12:50:16.559559,0.399601
35,2026-02-03T12:50:16.701861,2026-02-03T12:50:17.136887,0.435026
36,2026-02-03T12:50:23.861379,2026-02-03T12:50:24.189573,0.328194
37,2026-02-03T12:50:24.332246,2026-02-03T12:50:24.665064,0.332818
38,2026-02-03T12:50:24.806499,2026-02-03T12:50:25.145259,0.33876
39,2026-02-03T12:50:25.267558,2026-02-03T12:50:25.662740,0.395182
40,2026-02-03T12:50:25.908645,2026-02-03T12:50:26.241655,0.33301
41,2026-02-03T12:50:26.368394,2026-02-03T12:50:26.816174,0.44778
42,2026-02-03T12:50:26.977543,2026-02-03T12:50:27.324338,0.346795
43,2026-02-03T12:50:34.139726,2026-02-03T12:50:34.554273,0.414547
44,2026-02-03T12:50:34.688630,2026-02-03T12:50:35.728668,1.040038
