Image_ID,ARE,RMSE,delta<1.25,delta<1.25^2,Inference_Time(s)
10,0.1265,0.411,0.9608,0.9934,1.109
11,0.1266,0.4055,0.9652,0.9945,1.0914
12,0.1493,0.4742,0.898,0.9926,1.1312
13,0.1759,0.5421,0.7104,0.9929,1.1219
14,0.2287,0.6783,0.0595,0.9954,1.1579
15,0.2178,0.6466,0.1624,0.9982,1.1355
16,0.2286,0.6792,0.0319,0.9938,1.1462
17,0.2108,0.6244,0.3092,0.9982,1.1603
18,0.2123,0.6294,0.2311,0.995,1.1725
19,0.2047,0.6063,0.4345,0.9977,1.174
1,0.1657,0.511,0.8214,0.9934,1.1372
20,0.2357,0.6938,0.0461,0.9993,1.1735
21,0.2223,0.6542,0.1281,0.9993,1.1368
22,0.2133,0.6274,0.2269,0.9993,1.1608
23,0.2185,0.644,0.1091,0.9995,1.1697
24,0.2285,0.6735,0.0761,0.9986,1.2053
25,0.2316,0.6835,0.0392,0.9968,1.181
26,0.2269,0.6723,0.0494,0.9975,1.247
27,0.2336,0.6919,0.033,0.9968,1.2662
28,0.2223,0.6587,0.079,0.997,1.2904
29,0.2018,0.5981,0.4537,0.9979,1.2062
2,0.1563,0.4841,0.8671,0.995,1.2563
30,0.2084,0.6266,0.4016,0.9893,1.2608
31,0.1552,0.4712,0.9068,0.9945,1.249
32,0.1652,0.4948,0.8874,0.9973,1.2367
33,0.1824,0.5449,0.659,0.9975,1.2799
34,0.172,0.5162,0.7347,0.9968,1.2152
35,0.1898,0.568,0.6286,0.9956,1.2378
36,0.1746,0.5227,0.7453,0.9973,1.2385
37,0.1654,0.5035,0.7914,0.9929,1.4502
38,0.1854,0.562,0.5793,0.987,1.2424
39,0.1521,0.4814,0.9168,0.9909,1.2461
3,0.1552,0.4827,0.9101,0.9948,1.2678
40,0.1559,0.4956,0.8996,0.9918,1.3152
41,0.1571,0.4988,0.8709,0.9913,1.2723
42,0.1569,0.4949,0.8723,0.9922,1.2773
43,0.1901,0.5868,0.5879,0.9778,1.258
44,0.1806,0.5439,0.6935,0.995,1.3238
45,0.2196,0.6488,0.1355,0.9985,1.2682
46,0.2172,0.6409,0.3057,0.9978,1.2889
47,0.2316,0.6815,0.0643,0.9987,1.271
48,0.2233,0.6561,0.0864,0.9971,1.3133
49,0.2301,0.6783,0.0685,0.9973,1.3214
4,0.1811,0.5598,0.6091,0.9916,1.3251
50,0.2368,0.6957,0.0472,0.9993,1.3175
51,0.0599,0.182,1.0,1.0,1.3151
52,0.0768,0.2258,0.9998,1.0,1.3148
53,0.1027,0.2992,0.9998,1.0,1.3192
54,0.0823,0.2431,1.0,1.0,1.3204
55,0.0377,0.1217,0.9978,1.0,1.3117
56,0.026,0.0918,0.9995,1.0,1.2996
57,0.0239,0.0861,0.9995,1.0,1.2995
58,0.0176,0.0691,0.9995,1.0,1.3065
59,0.0638,0.1883,0.9975,1.0,1.3697
5,0.1737,0.5377,0.636,0.9938,1.3104
60,0.0399,0.1304,1.0,1.0,1.3235
61,0.0777,0.2287,1.0,1.0,1.3307
62,0.0738,0.2175,1.0,1.0,1.3288
63,0.111,0.3233,1.0,1.0,1.325
64,0.1186,0.3452,0.9984,1.0,1.3013
6,0.167,0.5129,0.7409,0.9942,1.2625
7,0.1618,0.5146,0.8739,0.9897,1.3427
8,0.1662,0.538,0.7993,0.9822,1.3636
9,0.1481,0.4759,0.9064,0.9909,1.3778
