Image_ID,ARE,RMSE,delta<1.25,delta<1.25^2,Inference_Time(s)
10,0.2394,0.5722,0.3008,0.9485,1.1403
11,0.292,0.6685,0.2268,0.658,1.1281
12,0.3226,0.7116,0.199,0.5562,1.1272
13,0.3174,0.7176,0.2156,0.5763,1.0981
14,0.3079,0.7074,0.208,0.5921,1.1786
15,0.2844,0.6578,0.2359,0.713,1.323
16,0.2881,0.6742,0.225,0.7164,1.1709
17,0.3162,0.7037,0.1669,0.6599,1.3301
18,0.3018,0.6918,0.1818,0.6931,1.2296
19,0.2223,0.5264,0.3175,0.9583,1.2313
1,0.3066,0.6802,0.1355,0.9562,1.2936
20,0.2872,0.6586,0.1876,0.8824,1.2569
21,0.2288,0.5351,0.2649,0.9621,1.2581
22,0.2468,0.5738,0.2441,0.9606,1.2486
23,0.2597,0.6142,0.2459,0.9573,1.2052
24,0.2341,0.5727,0.3435,0.9517,1.2642
25,0.258,0.5982,0.2431,0.9508,1.3917
26,0.232,0.5651,0.3555,0.9507,1.294
27,0.2615,0.6042,0.264,0.9198,1.3006
28,0.2296,0.5305,0.3399,0.9451,1.3027
29,0.2534,0.6025,0.3214,0.8384,1.3844
2,0.2055,0.5008,0.4602,0.9592,1.3462
30,0.2782,0.6573,0.2788,0.6412,1.3311
31,0.2738,0.639,0.2788,0.7104,1.3959
32,0.3014,0.697,0.2565,0.5464,1.3117
33,0.2752,0.6497,0.3073,0.6737,1.3854
34,0.2914,0.6925,0.2927,0.5817,1.2574
35,0.2788,0.6369,0.2957,0.7936,1.3387
36,0.2493,0.5965,0.3477,0.9169,1.303
37,0.2565,0.6098,0.3425,0.7972,1.3294
38,0.2235,0.5222,0.4682,0.9166,1.3014
39,0.2456,0.5696,0.4324,0.8716,1.3542
3,0.2048,0.4906,0.369,0.9587,1.3187
40,0.2282,0.5448,0.4371,0.9108,1.3186
41,0.2378,0.5616,0.4569,0.9061,1.3198
42,0.2444,0.577,0.4385,0.8868,1.5814
43,0.2371,0.5789,0.3956,0.9056,1.3298
44,0.2638,0.6218,0.3482,0.7999,1.2981
45,0.2434,0.5892,0.4073,0.8799,1.3072
46,0.2241,0.5477,0.4588,0.9074,1.2985
47,0.246,0.5923,0.3837,0.8398,1.5231
48,0.2357,0.5745,0.4133,0.8713,1.3001
49,0.2701,0.6444,0.3927,0.6485,1.2549
4,0.1921,0.4703,0.4708,0.9592,1.3261
50,0.271,0.6515,0.391,0.628,1.2453
51,0.3122,0.7433,0.3306,0.5303,1.3287
52,0.2533,0.6031,0.4349,0.6979,1.2702
53,0.2633,0.6188,0.4503,0.6826,1.2797
54,0.2536,0.5977,0.4552,0.7333,1.356
55,0.2577,0.599,0.4743,0.7212,1.2734
56,0.2561,0.6108,0.4408,0.6831,1.3157
57,0.2406,0.5632,0.4363,0.8111,1.2904
58,0.2414,0.5689,0.5001,0.7941,1.3409
59,0.2871,0.6757,0.3912,0.5874,1.3346
5,0.2069,0.4996,0.3992,0.9589,1.3395
60,0.3311,0.7464,0.3503,0.5055,1.3315
61,0.2562,0.5734,0.4905,0.7186,1.3094
62,0.271,0.6651,0.4266,0.6278,1.2939
63,0.2562,0.6327,0.4409,0.6737,1.2533
64,0.3336,0.7322,0.3754,0.507,1.3332
65,0.3847,0.809,0.2704,0.4441,1.3377
66,0.3619,0.7604,0.2834,0.5073,1.3366
67,0.3553,0.7395,0.2788,0.4592,1.3363
68,0.3363,0.7114,0.3547,0.4544,1.3392
69,0.3263,0.6957,0.3704,0.5714,1.3714
6,0.2174,0.533,0.3773,0.9558,1.3176
70,0.3264,0.705,0.3541,0.5712,1.3367
71,0.37,0.7714,0.2435,0.4772,1.3435
72,0.2129,0.5591,0.5936,0.8357,1.313
73,0.2477,0.6229,0.4738,0.6739,1.3265
74,0.2344,0.5524,0.6289,0.8245,1.3004
75,0.229,0.5558,0.5664,0.7875,1.3528
76,0.2461,0.5516,0.6367,0.8199,1.2714
77,0.2488,0.6046,0.6147,0.8078,1.2491
78,0.2445,0.6083,0.5626,0.7834,1.2546
79,0.2462,0.6059,0.523,0.7427,1.267
7,0.2417,0.5824,0.2974,0.9547,1.2621
80,0.2532,0.6308,0.6642,0.8225,1.3122
81,0.2591,0.6196,0.6542,0.8117,1.2786
82,0.2742,0.633,0.6254,0.8169,1.3011
83,0.2978,0.6351,0.3292,0.8149,1.2666
84,0.256,0.6927,0.5428,0.7651,1.2775
85,0.2588,0.6736,0.5406,0.76,1.3357
8,0.2143,0.5163,0.357,0.9531,1.3331
9,0.2532,0.5983,0.2649,0.9531,1.2676
