Image_ID,ARE,RMSE,delta<1.25,delta<1.25^2,Inference_Time(s)
10,0.0782,0.2465,1.0,1.0,1.0128
11,0.0777,0.244,1.0,1.0,0.9964
12,0.0426,0.145,1.0,1.0,0.9721
13,0.0563,0.1859,1.0,1.0,1.0438
14,0.0742,0.2355,1.0,1.0,1.0348
15,0.0534,0.1763,1.0,1.0,1.0101
16,0.0614,0.2324,0.9995,0.9995,1.0402
17,0.0423,0.3605,0.9888,0.9944,1.0395
18,0.056,0.3875,0.9883,0.9949,1.0542
19,0.083,0.4885,0.9907,0.9917,1.0659
1,0.0811,0.2528,1.0,1.0,1.0826
20,0.0678,0.3905,0.9958,0.9958,1.1478
21,0.0803,0.2516,1.0,1.0,1.1745
22,0.0878,0.2745,1.0,1.0,1.1907
23,0.0716,0.2275,1.0,1.0,1.1577
24,0.0786,0.2447,1.0,1.0,1.137
25,0.0813,0.2532,1.0,1.0,1.1451
26,0.066,0.21,1.0,1.0,1.1499
27,0.0849,0.2641,1.0,1.0,1.1609
28,0.0917,0.2852,1.0,1.0,1.2411
29,0.0679,0.2157,1.0,1.0,1.2059
2,0.068,0.2144,1.0,1.0,1.2612
30,0.0683,0.217,1.0,1.0,1.2639
31,0.0471,0.1541,1.0,1.0,1.2534
32,0.057,0.1888,1.0,1.0,1.2448
33,0.0577,0.1861,1.0,1.0,1.2458
34,0.086,0.2662,1.0,1.0,1.2551
35,0.0577,0.1835,1.0,1.0,1.2583
36,0.0718,0.2241,1.0,1.0,1.296
37,0.0724,0.2288,1.0,1.0,1.2806
38,0.0513,0.1673,1.0,1.0,1.3506
39,0.1749,0.5332,0.9316,1.0,1.3273
3,0.0628,0.198,1.0,1.0,1.3054
40,0.0787,0.2447,1.0,1.0,1.3442
41,0.0745,0.2341,1.0,1.0,1.6397
42,0.0881,0.2734,1.0,1.0,1.9294
43,0.0953,0.2974,1.0,1.0,1.8122
44,0.0896,0.2766,1.0,1.0,1.8131
45,0.0928,0.2861,1.0,1.0,1.8775
46,0.0933,0.2919,1.0,1.0,1.8145
47,0.0987,0.304,1.0,1.0,1.9633
48,0.0997,0.3095,1.0,1.0,1.4889
49,0.1088,0.3347,1.0,1.0,1.3709
4,0.0838,0.2595,1.0,1.0,1.3843
50,0.093,0.2877,1.0,1.0,1.3812
51,0.1049,0.3231,1.0,1.0,1.3939
52,0.094,0.2951,1.0,1.0,1.5106
53,0.1088,0.3343,0.9998,1.0,1.7865
54,0.0757,0.2393,1.0,1.0,1.5702
55,0.0848,0.2693,1.0,1.0,1.3773
56,0.0944,0.2928,1.0,1.0,1.3933
57,0.0967,0.3027,1.0,1.0,1.5282
58,0.1103,0.3424,1.0,1.0,1.3963
59,0.1098,0.3366,1.0,1.0,1.4622
5,0.0796,0.2492,1.0,1.0,1.7422
60,0.0888,0.278,1.0,1.0,1.6797
6,0.0767,0.2391,1.0,1.0,1.3937
7,0.1111,0.3445,1.0,1.0,1.3982
8,0.0822,0.2559,1.0,1.0,1.7322
9,0.0643,0.2058,1.0,1.0,1.7255
