0.1296,0.4776,0.8951,1,1.2875,,,0.098,0.3621,0.9717,1,1.2457
0.1077,0.3989,0.9201,1,1.2474,,,,,,,
0.0924,0.354,0.926,1,1.0398,,,,,,,
0.0745,0.2833,0.9972,1,1.1519,,,,,,,
0.0851,0.3161,0.9905,1,1.128,,,,,,,
0.0866,0.3196,0.9958,1,1.1095,,,,,,,
0.0725,0.275,1,1,1.1448,,,,,,,
0.0946,0.3452,0.9877,1,1.1533,,,,,,,
0.0932,0.3484,0.9901,1,1.1816,,,,,,,
0.1052,0.3913,0.9439,1,1.1842,,,,,,,
0.0951,0.3515,0.9953,1,1.1961,,,,,,,
0.0832,0.3129,1,1,1.2026,,,,,,,
0.0492,0.1935,1,1,1.2112,,,,,,,
0.0706,0.2595,1,1,1.2889,,,,,,,
0.0847,0.3103,1,1,1.2725,,,,,,,
0.0793,0.2915,1,1,1.3001,,,,,,,
0.087,0.3189,1,1,1.2752,,,,,,,
0.1436,0.5231,0.8785,1,1.3442,,,,,,,
0.1077,0.3951,1,1,1.3707,,,,,,,
0.0951,0.3492,1,1,1.3084,,,,,,,
0.0949,0.3481,1,1,1.3149,,,,,,,
0.1139,0.4165,1,1,1.4491,,,,,,,
0.1115,0.4079,1,1,1.3182,,,,,,,
0.1075,0.3934,1,1,1.329,,,,,,,
0.0893,0.3277,1,1,1.235,,,,,,,
0.124,0.4574,0.9102,1,1.2124,,,,,,,
0.142,0.5185,0.871,1,1.2342,,,,,,,
0.1247,0.4592,0.9099,1,1.2482,,,,,,,
0.1208,0.4459,0.9122,1,1.2583,,,,,,,
0.0831,0.3046,1,1,1.3122,,,,,,,
0.0904,0.3296,1,1,1.3082,,,,,,,
