Image_ID,ARE,RMSE,delta<1.25,delta<1.25^2,Inference_Time(s)
10,0.1296,0.4776,0.8951,1.0,1.2875
11,0.1077,0.3989,0.9201,1.0,1.2474
12,0.0924,0.354,0.926,1.0,1.0398
13,0.093,0.3458,0.9654,1.0,1.035
14,0.0745,0.2833,0.9972,1.0,1.1519
15,0.0851,0.3161,0.9905,1.0,1.128
16,0.0866,0.3196,0.9958,1.0,1.1095
17,0.0725,0.275,1.0,1.0,1.1448
18,0.0946,0.3452,0.9877,1.0,1.1533
19,0.0779,0.3092,0.9584,1.0,1.1754
1,0.1403,0.5126,0.8802,1.0,1.196
20,0.0932,0.3484,0.9901,1.0,1.1816
21,0.1052,0.3913,0.9439,1.0,1.1842
22,0.0951,0.3515,0.9953,1.0,1.1961
23,0.0832,0.3129,1.0,1.0,1.2026
24,0.0492,0.1935,1.0,1.0,1.2112
25,0.0706,0.2595,1.0,1.0,1.2889
26,0.0884,0.3222,1.0,1.0,1.2958
27,0.0847,0.3103,1.0,1.0,1.2725
28,0.0793,0.2915,1.0,1.0,1.3001
29,0.087,0.3189,1.0,1.0,1.2752
2,0.1436,0.5231,0.8785,1.0,1.3442
30,0.0981,0.3578,1.0,1.0,1.3164
31,0.1077,0.3951,1.0,1.0,1.3707
32,0.0951,0.3492,1.0,1.0,1.3084
33,0.0949,0.3481,1.0,1.0,1.3149
34,0.1139,0.4165,1.0,1.0,1.4491
35,0.1115,0.4079,1.0,1.0,1.3182
36,0.1075,0.3934,1.0,1.0,1.329
37,0.1284,0.4698,1.0,1.0,5.4318
38,0.0893,0.3277,1.0,1.0,1.235
3,0.124,0.4574,0.9102,1.0,1.2124
4,0.142,0.5185,0.871,1.0,1.2342
5,0.1247,0.4592,0.9099,1.0,1.2482
6,0.1208,0.4459,0.9122,1.0,1.2583
7,0.1271,0.466,0.9076,1.0,1.2742
8,0.0831,0.3046,1.0,1.0,1.3122
9,0.0904,0.3296,1.0,1.0,1.3082
