Image_ID,ARE,RMSE,delta<1.25,delta<1.25^2,Inference_Time(s)
10,0.0866,0.2906,1.0,1.0,1.0703
11,0.0921,0.3068,1.0,1.0,1.0808
12,0.1186,0.393,1.0,1.0,1.105
13,0.0974,0.3251,1.0,1.0,1.1008
14,0.0908,0.3035,1.0,1.0,1.0959
15,0.1024,0.3399,1.0,1.0,1.0961
16,0.0909,0.305,1.0,1.0,1.862
17,0.0927,0.3082,1.0,1.0,1.4368
18,0.0907,0.3044,1.0,1.0,1.3379
19,0.0808,0.2734,1.0,1.0,1.2283
1,0.07,0.2409,1.0,1.0,1.2095
20,0.084,0.2825,1.0,1.0,1.2584
21,0.0772,0.2607,1.0,1.0,1.2552
22,0.0658,0.2235,1.0,1.0,1.2908
23,0.0814,0.2717,1.0,1.0,1.2978
24,0.0803,0.2676,1.0,1.0,1.2687
25,0.0876,0.2903,1.0,1.0,1.2165
26,0.0885,0.2919,1.0,1.0,1.2628
27,0.0688,0.2315,1.0,1.0,1.3106
28,0.0727,0.2431,1.0,1.0,1.3773
29,0.0709,0.2367,1.0,1.0,1.3293
2,0.0785,0.2674,1.0,1.0,1.2865
30,0.0845,0.2779,1.0,1.0,1.2771
31,0.0948,0.3109,1.0,1.0,1.2984
32,0.1201,0.3914,1.0,1.0,1.4489
33,0.0979,0.3224,1.0,1.0,1.3885
34,0.1028,0.3367,1.0,1.0,1.2266
35,0.152,0.4916,0.9898,1.0,1.3611
36,0.0997,0.3238,1.0,1.0,1.5456
37,0.101,0.3268,1.0,1.0,1.5234
38,0.1018,0.3298,1.0,1.0,1.4111
39,0.1134,0.3637,1.0,1.0,1.2867
3,0.0889,0.301,1.0,1.0,1.375
40,0.1328,0.4309,0.9998,1.0,1.2696
41,0.0841,0.2764,1.0,1.0,1.6397
42,0.1074,0.3491,1.0,1.0,1.3162
43,0.0996,0.3232,1.0,1.0,1.3158
44,0.0936,0.3061,1.0,1.0,1.4219
45,0.0841,0.2755,1.0,1.0,1.3235
4,0.0811,0.2732,1.0,1.0,1.5024
5,0.0903,0.3056,1.0,1.0,1.7666
6,0.1023,0.3414,1.0,1.0,1.3971
7,0.0674,0.231,1.0,1.0,1.547
8,0.0911,0.3059,1.0,1.0,2.1634
9,0.0825,0.2768,1.0,1.0,1.3971
