Image_ID,ARE,RMSE,delta<1.25,delta<1.25^2,Inference_Time(s)
10,0.20217466,0.76001775,0.5172177879133409,0.9206385404789054,0.3215
11,0.2045597,0.76645416,0.5076676585030899,0.9153124284733348,0.3324
12,0.20512216,0.7649096,0.5057577153385536,0.9173192077383694,0.4122
13,0.13251206,0.514728,0.7658603377453218,0.9945230488361478,7.6155
14,0.11150318,0.42451686,0.8550922761449077,0.9972658920027341,0.3317
15,0.11163059,0.42515603,0.8544665295864747,0.9974868631482751,0.3239
16,0.111616366,0.42503735,0.8534915563669557,0.9970333181195801,0.3391
17,0.11133156,0.42381722,0.8537252221462748,0.9974937343358395,0.3862
18,0.111098,0.423254,0.8543423751994529,0.9984043765671301,0.4681
19,0.0975168,0.3375887,0.9822282980177717,0.998177261335156,7.4693
1,0.06641559,0.24249555,0.9863169897377423,0.9968072976054732,7.7683
20,0.11635894,0.38939822,0.9933850364963503,0.9981751824817519,0.4132
21,0.11008682,0.37962833,0.991507918292403,0.9977048427817305,0.4525
22,0.12053204,0.4102722,0.9915870850386539,0.9968167348794906,0.3481
23,0.12134242,0.41124067,0.9913261812371604,0.9974891577265464,0.3584
24,0.11708475,0.39765614,0.9922568890913231,0.9986335686631747,0.3586
25,0.045931473,0.17138158,0.9947283978913591,1.0,7.2516
26,0.052679617,0.20283265,0.9913498748008195,0.9995447302526748,0.3766
27,0.05109201,0.19711751,0.9872524470748919,0.9990894605053494,0.5171
28,0.052369907,0.19438182,0.9913459348667729,1.0,0.3955
29,0.052850366,0.19595562,0.990200546946217,1.0,0.4038
2,0.067127965,0.24701808,0.9869654699291105,0.9961125085753487,0.4055
30,0.056461833,0.21520315,0.9860666971219735,0.9995431703974418,0.3464
31,0.07523184,0.2569618,0.9882866329811667,0.9988516306844281,6.9944
32,0.07075902,0.24207214,0.9819634703196347,0.9981735159817352,0.346
33,0.07410819,0.26171184,0.9709581522981935,0.999771324033844,0.3529
34,0.07036638,0.24402973,0.9796989051094891,0.9995437956204379,0.3827
35,0.06737812,0.23392963,0.9853008727606798,0.998162609095085,0.4424
36,0.07209793,0.25242218,0.9807780320366133,0.9995423340961098,0.3584
37,0.06848029,0.23666853,0.989480905556826,0.9979419163045964,0.4113
38,0.09163032,0.33622375,0.9822039698836413,0.9977184576773899,7.6091
39,0.13205191,0.47155675,0.9344299748686314,0.993374457390907,0.3938
3,0.06404658,0.23895246,0.9881332724783204,0.9965769055225924,0.3126
40,0.15618825,0.53160185,0.7757755474452555,0.9931569343065694,0.3471
41,0.17253977,0.5651295,0.7454379562043796,0.9938412408759124,0.3473
42,0.16694994,0.5562363,0.7511994516792323,0.9938313913639479,0.4458
43,0.12142344,0.43066025,0.9769142857142857,0.9952,0.365
44,0.17268264,0.6436299,0.6656791248860529,0.9514585232452142,7.3224
45,0.14925441,0.54993284,0.7003530450132391,0.999558693733451,0.3589
46,0.14962307,0.54307306,0.7096273291925466,0.9995563442768411,0.3689
47,0.14315745,0.5261438,0.7249944555333777,0.9995564426702152,0.3599
48,0.14562434,0.5306619,0.7076448556950871,0.9995593743115223,0.3768
49,0.14394478,0.5268708,0.7178319289455705,1.0,0.4574
4,0.06903865,0.25872815,0.9861615245009074,0.9956896551724138,0.3224
50,0.04804364,0.18170989,0.9984054669703872,1.0,7.6516
51,0.03130369,0.11651397,0.9997729336966394,1.0,0.4504
52,0.027401686,0.10266018,0.9993174061433447,1.0,0.3582
53,0.029481195,0.10954684,0.9984437527790129,1.0,0.5596
54,0.02736041,0.10455713,0.9986480396575034,1.0,0.3647
55,0.0568271,0.18791784,0.9922480620155039,1.0,7.0771
56,0.08861183,0.26504257,0.9936435868331441,1.0,0.3389
57,0.08467494,0.2533493,0.9943233424159855,1.0,0.372
58,0.08660655,0.25918338,0.9936464715225777,1.0,0.3474
59,0.09655499,0.28437823,0.993866424352567,1.0,0.3864
5,0.06756457,0.24383287,0.9889429455992923,0.9969040247678018,0.4674
60,0.099413976,0.29609713,0.9970508166969148,1.0,0.3822
61,0.08901134,0.26756796,0.9984043765671301,1.0,0.3661
62,0.028924322,0.10351282,1.0,1.0,7.6036
63,0.028789409,0.09630638,1.0,1.0,0.3736
64,0.027251523,0.096786186,1.0,1.0,1.0419
6,0.19969454,0.7427924,0.5361471861471861,0.9279220779220779,7.1796
7,0.20195144,0.7605595,0.5202100936286823,0.9189312628453985,0.3284
8,0.20082542,0.7589492,0.5289689781021898,0.9185675182481752,0.3705
9,0.20012519,0.75682545,0.5289821999087175,0.9203560018256504,0.3551
