Image_ID,ARE,RMSE,delta<1.25,delta<1.25^2,Inference_Time(s)
10,0.112,0.1916,1.0,1.0,1.1045
11,0.1072,0.1842,1.0,1.0,1.0425
12,0.1171,0.2006,1.0,1.0,1.0224
13,0.1401,0.2389,1.0,1.0,1.2306
14,0.1015,0.1742,1.0,1.0,1.0824
15,0.1348,0.2286,1.0,1.0,1.0962
16,0.0937,0.1608,1.0,1.0,1.1
17,0.0883,0.1515,1.0,1.0,1.1251
18,0.0662,0.1157,1.0,1.0,1.1239
19,0.0836,0.1437,1.0,1.0,1.5638
1,0.1785,0.3058,0.9995,1.0,1.2629
20,0.0804,0.1386,1.0,1.0,1.2044
21,0.0621,0.1094,1.0,1.0,1.1944
22,0.0612,0.1078,1.0,1.0,1.3644
23,0.0672,0.1187,1.0,1.0,1.2509
24,0.1287,0.2177,1.0,1.0,1.3248
25,0.0511,0.0927,1.0,1.0,1.2907
26,0.1733,0.2941,1.0,1.0,1.3926
27,0.2054,0.3539,0.9616,1.0,1.2716
28,0.2282,0.3926,0.759,1.0,1.3649
29,0.1302,0.227,1.0,1.0,1.3653
2,0.1609,0.2762,1.0,1.0,1.2726
30,0.1898,0.3284,0.9876,1.0,1.3536
31,0.2082,0.3625,0.8936,1.0,1.3109
32,0.2226,0.3875,0.7234,1.0,1.3491
33,0.19,0.3297,0.9489,1.0,1.3286
34,0.2246,0.3923,0.7085,1.0,1.2926
35,0.2308,0.4025,0.6669,1.0,1.2991
36,0.2123,0.37,0.7947,1.0,1.3723
37,0.2012,0.3507,0.8854,1.0,1.318
38,0.2166,0.3773,0.7608,1.0,1.3361
39,0.1762,0.3131,0.9993,1.0,1.2909
3,0.154,0.264,1.0,1.0,1.3168
40,0.2066,0.3626,0.8202,1.0,1.2684
41,0.1882,0.3321,0.9003,1.0,1.4816
42,0.1828,0.3238,0.9072,1.0,1.3395
43,0.1861,0.3291,0.9112,1.0,1.4073
44,0.2007,0.355,0.8217,1.0,1.3533
45,0.1947,0.3436,0.8825,1.0,1.3358
46,0.2,0.3526,0.8511,1.0,1.3739
47,0.1763,0.3103,0.9593,1.0,1.8617
48,0.2212,0.3885,0.7217,1.0,1.6842
49,0.1879,0.3259,0.968,1.0,1.6092
4,0.1523,0.2613,1.0,1.0,1.4488
50,0.1882,0.3265,0.9893,1.0,1.4909
51,0.2091,0.3623,0.9406,1.0,1.5151
52,0.1551,0.267,1.0,1.0,1.5816
53,0.1824,0.3127,0.9998,1.0,1.7341
54,0.0999,0.172,1.0,1.0,1.6308
55,0.1074,0.1843,1.0,1.0,1.5047
56,0.0915,0.1582,1.0,1.0,1.5406
57,0.128,0.2187,1.0,1.0,1.6833
58,0.0785,0.1358,1.0,1.0,1.4793
59,0.1082,0.1842,1.0,1.0,1.6308
5,0.139,0.2386,1.0,1.0,2.0801
60,0.0186,0.0382,1.0,1.0,2.0916
61,0.0462,0.0846,1.0,1.0,1.7262
62,0.0718,0.8683,0.9801,0.9804,1.4087
63,0.1656,1.5247,0.9234,0.938,1.4977
64,0.1797,1.3488,0.9289,0.9601,1.3119
65,0.1853,1.4005,0.9206,0.9618,1.4207
66,0.1833,1.4159,0.9282,0.9636,1.927
67,0.2001,1.412,0.8061,0.9629,1.9728
68,0.1978,1.3621,0.854,0.9568,1.7934
69,0.2213,1.4226,0.5198,0.9602,1.8934
6,0.148,0.2538,1.0,1.0,1.7766
70,0.2312,1.438,0.3254,0.9582,1.7374
7,0.153,0.2625,1.0,1.0,1.7915
8,0.1922,0.3284,0.9983,1.0,1.8543
9,0.1088,0.1868,1.0,1.0,1.6024
