image_index,timestamp,target_u,target_v,target_tilt_rad,target_pan_rad,actual_tilt_rad,actual_pan_rad,point_index,lidar_distance,camera_depth,midas_rel_depth,real_u,real_v,uncertainty,sequence_duration_sec
1,2026-02-03T13:10:53.350722,159,303,1.6964105924423072,1.861008122839718,1.696582751401519,1.859184714917397,0,3.6,3.3639863660742315,0.9908602237701416,170.41899695685214,340.66010219525805,0.0,4.593165
1,2026-02-03T13:10:53.623332,164,298,1.689912255207953,1.853420864317555,1.6904468282499765,1.8545827725537403,1,3.58,3.3521473013540652,0.99064040184021,173.18803921137064,336.30093066873195,0.0,4.593165
1,2026-02-03T13:10:53.926899,163,317,1.7171106560642555,1.8565205580441435,1.7165245016440325,1.8545827725537403,2,3.59,3.3466152297518916,0.9846503138542175,174.2273570977753,353.324460424409,0.0,4.593165
1,2026-02-03T13:10:54.262383,168,295,1.6861322968268726,1.847416513101222,1.688912847462091,1.8484468494021975,3,3.58,3.35813947275159,0.987906277179718,177.16233862352948,334.9365142117816,0.0,4.593165
1,2026-02-03T13:10:55.013301,607,455,1.929682971398512,1.226237096870811,1.9297478311601366,1.227184630308513,4,2.46,2.0231554894822126,0.0429915189743042,596.5543195927095,476.27354351009285,0.014911055564880371,4.593165
1,2026-02-03T13:10:55.383739,511,454,1.9345007512781225,1.3558777849720232,1.9343497735237936,1.3529710549151355,5,2.44,2.0925893711094545,0.02311605215072632,506.7062185241713,475.950916762135,0.002526521682739258,4.593165
1,2026-02-03T13:10:56.101748,602,24,1.3468537313843076,1.1860604834496926,1.3483691125514785,1.1873011298234863,6,3.36,2.9278998160231513,0.4521868824958801,588.7667239257343,74.37648030422223,0.03535342216491699,4.593165
1,2026-02-03T13:10:56.662895,597,313,1.7461301359474493,1.2238304799310236,1.7456701366138596,1.2210487071569704,7,3.25,2.85697061609699,0.6239033937454224,586.9876896684591,347.0007984161955,0.029396921396255493,4.593165
8,2026-02-03T13:11:03.110602,127,249,1.613879524700403,1.9016269756136883,1.6168157504314657,1.8990682154024239,0,3.44,3.206617702487258,0.996576726436615,140.4974774517861,290.4604466179194,0.0,4.019047
8,2026-02-03T13:11:03.384257,131,244,1.6070667156694571,1.895599505844939,1.607611865704152,1.8960002538266525,1,3.48,3.2502034071102766,0.9963679909706116,142.2740640851853,284.57471666043995,0.0,4.019047
8,2026-02-03T13:11:03.704824,137,233,1.5916585073674738,1.8862151013191903,1.5922720578252956,1.8867963690993386,2,3.44,3.2238805799844226,0.995103657245636,147.8042967935286,274.05236255303544,0.0,4.019047
8,2026-02-03T13:11:04.024375,131,199,1.5411319423548449,1.89179934847201,1.543184672612955,1.88986433067511,3,3.45,3.235775063022985,0.9958895444869995,143.8745765952858,242.7098959764673,0.0,4.019047
8,2026-02-03T13:11:04.840123,607,455,1.929682971398512,1.226237096870811,1.9297478311601366,1.227184630308513,4,2.47,2.031711812610189,0.04088228940963745,596.5142086528696,476.3611179976007,0.0085793137550354,4.019047
8,2026-02-03T13:11:05.176612,564,454,1.931789489651778,1.2828418276175508,1.9343497735237936,1.2808739578845103,5,2.48,2.0797151861657874,0.04757016897201538,557.2584027352327,477.9477053505915,0.005417764186859131,4.019047
8,2026-02-03T13:11:05.847717,606,55,1.389340890223893,1.1843285890081663,1.3913205746122765,1.1857671490356005,6,3.38,2.9653351545969384,0.5383844971656799,592.3589472975406,104.45747115811957,0.02826523780822754,4.019047
8,2026-02-03T13:11:06.410900,580,300,1.7281465095283521,1.2446620348996051,1.727262367159232,1.2425244381873692,7,3.32,2.957702486997064,0.6518876552581787,570.0901308647524,334.9810716923983,0.027878373861312866,4.019047
16,2026-02-03T13:11:13.544629,54,24,1.2902274346885354,1.9837262406905254,1.2931458041875956,1.9819031779482483,0,3.64,3.2133694696675232,0.9793778657913208,70.8757083979486,77.54440140318425,0.0,4.646553
16,2026-02-03T13:11:13.850232,76,28,1.2947821673993187,1.954260878462393,1.2931458041875956,1.9527575429784212,1,3.59,3.2031196279187237,0.9714267253875732,91.28163684062487,78.0527413494753,0.0,4.646553
16,2026-02-03T13:11:14.392465,42,204,1.5407093347909036,2.0128118502582195,1.5416506918250694,2.0110488129180757,2,3.56,3.198459170094871,0.9763793349266052,59.370691863001596,246.55141119765491,0.0,4.646553
16,2026-02-03T13:11:14.920629,76,33,1.3016196300354381,1.9546555523573288,1.3023496889149093,1.9558255045541926,3,3.58,3.197720734508121,0.9700535535812378,89.50962620956521,84.35437937758935,0.0,4.646553
16,2026-02-03T13:11:15.819287,607,455,1.929682971398512,1.226237096870811,1.9312818119480222,1.227184630308513,4,2.47,2.0303573632675755,0.025804519653320312,596.6219116394188,477.56324435784785,0.01269376277923584,4.646553
16,2026-02-03T13:11:16.120894,587,453,1.9288916660572077,1.2520973425738917,1.9297478311601366,1.2501943421267976,5,2.47,2.0510934393619222,0.04987335205078125,579.3564977204878,475.39566528739726,0.01504749059677124,4.646553
16,2026-02-03T13:11:17.339162,512,416,1.885485540990418,1.3502632787305875,1.885262388311453,1.35143707412725,7,2.78,2.4426761846188847,0.348182737827301,504.04571911619746,442.4200233150533,0.02550673484802246,4.646553
23,2026-02-03T13:11:23.944680,57,24,1.290092033886074,1.9797040621877777,1.2916118233997098,1.9773012355845914,0,3.47,3.0638046196808664,0.9862521290779114,73.73443185676335,75.43860240462901,0.0,3.775429
23,2026-02-03T13:11:24.250279,64,37,1.3074713613453677,1.971273894283135,1.3054176504906807,1.9726992932209346,1,3.51,3.116199888289616,0.9837977290153503,77.65199199642132,85.60170000349609,0.0,3.775429
23,2026-02-03T13:11:24.504852,67,45,1.3183357748143278,1.9678361574943184,1.3161555160058802,1.9680973508572777,2,3.51,3.1295239653195863,0.9818230271339417,81.3430020551318,93.23401798009508,0.0,3.775429
23,2026-02-03T13:11:24.795444,68,56,1.3334673493645852,1.9673346577952213,1.3330293046726223,1.9680973508572777,3,3.5,3.1319382203824797,0.9816168546676636,82.01369954833385,104.89006738995045,0.0,3.775429
23,2026-02-03T13:11:25.612223,456,455,1.936717780839854,1.434864004986577,1.9374177350995647,1.4358060174609601,4,2.43,2.121359472408357,0.004594862461090088,451.2601951096127,477.77139373109026,0.010303795337677002,3.775429
23,2026-02-03T13:11:25.835785,455,453,1.9341469040892614,1.4361013543491714,1.9343497735237936,1.4358060174609601,5,2.46,2.151445398972671,0.021891295909881592,451.03472809733165,475.75600494677445,0.009087800979614258,3.775429
