img_idx,a,b,equation,infer_time
1,1.3129021089916906,2.0788274551430574,y = 1.3129 * x + 2.0788,6.8526
2,1.3129021089916906,2.0788274551430574,y = 1.3129 * x + 2.0788,0.3917
3,1.3129021089916906,2.0788274551430574,y = 1.3129 * x + 2.0788,0.4697
4,1.3129021089916906,2.0788274551430574,y = 1.3129 * x + 2.0788,0.3341
5,1.3129021089916906,2.0788274551430574,y = 1.3129 * x + 2.0788,0.356
6,1.3129021089916906,2.0788274551430574,y = 1.3129 * x + 2.0788,0.4076
7,1.3129021089916906,2.0788274551430574,y = 1.3129 * x + 2.0788,0.3328
8,1.2029503045968608,2.0775274874483305,y = 1.2030 * x + 2.0775,6.4992
9,1.2029503045968608,2.0775274874483305,y = 1.2030 * x + 2.0775,0.328
10,1.2029503045968608,2.0775274874483305,y = 1.2030 * x + 2.0775,0.3793
11,1.2029503045968608,2.0775274874483305,y = 1.2030 * x + 2.0775,0.3881
12,1.2029503045968608,2.0775274874483305,y = 1.2030 * x + 2.0775,0.3541
13,1.2029503045968608,2.0775274874483305,y = 1.2030 * x + 2.0775,0.3461
14,1.2029503045968608,2.0775274874483305,y = 1.2030 * x + 2.0775,0.4513
15,1.2029503045968608,2.0775274874483305,y = 1.2030 * x + 2.0775,0.4031
16,1.23762173905694,1.9984158653748356,y = 1.2376 * x + 1.9984,7.2208
17,1.23762173905694,1.9984158653748356,y = 1.2376 * x + 1.9984,0.3401
18,1.23762173905694,1.9984158653748356,y = 1.2376 * x + 1.9984,0.3439
19,1.23762173905694,1.9984158653748356,y = 1.2376 * x + 1.9984,0.4585
20,1.23762173905694,1.9984158653748356,y = 1.2376 * x + 1.9984,0.3609
21,1.23762173905694,1.9984158653748356,y = 1.2376 * x + 1.9984,0.3476
22,1.23762173905694,1.9984158653748356,y = 1.2376 * x + 1.9984,0.3614
23,1.002907071103551,2.1244387819577115,y = 1.0029 * x + 2.1244,6.3845
24,1.002907071103551,2.1244387819577115,y = 1.0029 * x + 2.1244,0.3359
25,1.002907071103551,2.1244387819577115,y = 1.0029 * x + 2.1244,0.3464
26,1.002907071103551,2.1244387819577115,y = 1.0029 * x + 2.1244,0.3612
27,1.002907071103551,2.1244387819577115,y = 1.0029 * x + 2.1244,0.3922
28,1.002907071103551,2.1244387819577115,y = 1.0029 * x + 2.1244,0.3487
29,1.002907071103551,2.1244387819577115,y = 1.0029 * x + 2.1244,0.5233
30,1.002907071103551,2.1244387819577115,y = 1.0029 * x + 2.1244,0.5306
31,1.30001695762658,2.0585641028228387,y = 1.3000 * x + 2.0586,6.0244
32,1.30001695762658,2.0585641028228387,y = 1.3000 * x + 2.0586,0.3817
33,1.30001695762658,2.0585641028228387,y = 1.3000 * x + 2.0586,0.4839
34,1.30001695762658,2.0585641028228387,y = 1.3000 * x + 2.0586,0.3886
35,1.30001695762658,2.0585641028228387,y = 1.3000 * x + 2.0586,0.3791
36,1.30001695762658,2.0585641028228387,y = 1.3000 * x + 2.0586,0.4908
37,1.30001695762658,2.0585641028228387,y = 1.3000 * x + 2.0586,0.3567
38,1.30001695762658,2.0585641028228387,y = 1.3000 * x + 2.0586,0.3602
39,1.30001695762658,2.0585641028228387,y = 1.3000 * x + 2.0586,0.5068
40,1.1425285175818756,2.063410603561202,y = 1.1425 * x + 2.0634,6.2877
41,1.1425285175818756,2.063410603561202,y = 1.1425 * x + 2.0634,0.4784
42,1.1425285175818756,2.063410603561202,y = 1.1425 * x + 2.0634,0.3543
43,1.1425285175818756,2.063410603561202,y = 1.1425 * x + 2.0634,0.3596
44,1.1425285175818756,2.063410603561202,y = 1.1425 * x + 2.0634,0.4212
45,1.1425285175818756,2.063410603561202,y = 1.1425 * x + 2.0634,0.3752
46,1.1425285175818756,2.063410603561202,y = 1.1425 * x + 2.0634,0.3579
47,1.1425285175818756,2.063410603561202,y = 1.1425 * x + 2.0634,0.3675
48,1.5070310080327527,1.9582061723444577,y = 1.5070 * x + 1.9582,6.0955
49,1.5070310080327527,1.9582061723444577,y = 1.5070 * x + 1.9582,0.4847
50,1.5070310080327527,1.9582061723444577,y = 1.5070 * x + 1.9582,0.5055
51,1.5070310080327527,1.9582061723444577,y = 1.5070 * x + 1.9582,0.3682
52,1.5070310080327527,1.9582061723444577,y = 1.5070 * x + 1.9582,0.387
53,1.5070310080327527,1.9582061723444577,y = 1.5070 * x + 1.9582,0.4784
54,1.5070310080327527,1.9582061723444577,y = 1.5070 * x + 1.9582,0.4046
55,1.5070310080327527,1.9582061723444577,y = 1.5070 * x + 1.9582,0.3739
56,1.5174558627709458,1.9846755084873529,y = 1.5175 * x + 1.9847,6.0539
57,1.5174558627709458,1.9846755084873529,y = 1.5175 * x + 1.9847,0.4512
58,1.5174558627709458,1.9846755084873529,y = 1.5175 * x + 1.9847,0.4952
59,1.5174558627709458,1.9846755084873529,y = 1.5175 * x + 1.9847,0.5461
60,1.5174558627709458,1.9846755084873529,y = 1.5175 * x + 1.9847,0.5692
