Image_ID,ARE,RMSE,delta<1.25,delta<1.25^2,Inference_Time(s)
10,0.07327406,0.28356448,1.0,1.0,0.3412
11,0.07722828,0.29303795,1.0,1.0,0.3674
12,0.06862739,0.25897974,1.0,1.0,0.3768
13,0.042733017,0.17753366,1.0,1.0,6.7698
14,0.048916925,0.2030254,1.0,1.0,0.3288
15,0.04577958,0.18950953,1.0,1.0,0.3367
16,0.047311015,0.19157463,1.0,1.0,0.3399
17,0.049441855,0.20249298,1.0,1.0,0.331
18,0.047428593,0.18944213,1.0,1.0,0.3379
19,0.046466287,0.18468447,1.0,1.0,0.3547
1,0.090375364,0.37176937,0.9781089892873778,1.0,7.5088
20,0.048307337,0.18738216,1.0,1.0,0.3544
21,0.07942201,0.29352617,1.0,1.0,7.8747
22,0.07801876,0.2816263,1.0,1.0,0.3432
23,0.077557094,0.28194535,1.0,1.0,0.3432
24,0.09071645,0.33214906,1.0,1.0,0.3458
25,0.07949379,0.2891318,1.0,1.0,0.4083
26,0.08873885,0.31297714,1.0,1.0,0.3541
27,0.050668627,0.18611299,1.0,1.0,8.7852
28,0.060664203,0.20944466,1.0,1.0,0.3492
29,0.05893163,0.21043439,1.0,1.0,0.3927
2,0.08893892,0.36522108,0.9785645472061657,1.0,0.3283
30,0.056191523,0.1932246,1.0,1.0,0.3716
31,0.059554186,0.2046871,1.0,1.0,7.7491
32,0.05151195,0.17303194,1.0,1.0,0.4857
33,0.052267116,0.18042804,1.0,1.0,0.3872
34,0.051209293,0.17022853,1.0,1.0,0.362
35,0.046477687,0.15583207,1.0,1.0,0.4254
36,0.06350255,0.23348908,1.0,1.0,7.3358
37,0.072280906,0.25580347,1.0,1.0,0.3397
38,0.07110659,0.25151682,1.0,1.0,0.3445
39,0.071822934,0.26150957,1.0,1.0,0.3649
3,0.0889647,0.35680944,0.9963645176926805,1.0,0.3343
40,0.06841394,0.23494598,1.0,1.0,0.3504
41,0.06836812,0.24003512,1.0,1.0,0.3566
42,0.054252714,0.19711237,1.0,1.0,0.3467
43,0.051094145,0.17900278,1.0,1.0,8.3575
44,0.06437481,0.2165687,1.0,1.0,0.3566
45,0.049041577,0.17389527,1.0,1.0,0.3492
4,0.088000275,0.3646899,0.9732787674530573,1.0,0.478
5,0.092191525,0.35972008,0.9947000722717417,1.0,0.4674
6,0.07225563,0.30065572,1.0,1.0,7.0171
7,0.07179693,0.28274813,1.0,1.0,0.3403
8,0.07497189,0.30216876,1.0,1.0,0.3447
9,0.077057675,0.3118196,1.0,1.0,0.347
