Image_ID,ARE,RMSE,delta<1.25,delta<1.25^2,Inference_Time(s)
10,0.0554,0.1337,1.0,1.0,1.2229
11,0.0443,0.1104,0.9998,1.0,1.1115
12,0.0646,0.1559,0.9991,1.0,1.1843
13,0.0755,0.1835,0.9979,1.0,1.109
14,0.049,0.1223,0.9998,1.0,1.1646
15,0.064,0.1862,0.9795,1.0,1.2207
16,0.0474,0.1199,0.9998,1.0,1.2322
17,0.0233,0.0711,1.0,1.0,1.2251
18,0.0302,0.0883,0.9998,1.0,1.2685
19,0.0218,0.068,1.0,1.0,1.2305
1,0.0809,0.1951,0.9998,1.0,1.1966
20,0.0574,0.1364,1.0,1.0,1.2534
21,0.0477,0.124,0.9998,1.0,1.2311
22,0.0361,0.0974,1.0,1.0,1.199
23,0.0374,0.0961,1.0,1.0,1.2379
24,0.0703,0.166,1.0,1.0,1.2336
25,0.0664,0.1616,1.0,1.0,1.2802
26,0.0499,0.1268,0.9995,1.0,1.253
27,0.0782,0.1843,0.9993,1.0,1.346
28,0.0649,0.1547,1.0,1.0,1.2818
29,0.0742,0.1741,1.0,1.0,1.2732
2,0.082,0.201,0.9995,1.0,1.3302
30,0.078,0.1848,0.9993,1.0,1.2825
31,0.0607,0.1535,1.0,1.0,1.2806
32,0.0867,0.2123,0.9998,1.0,1.2076
33,0.0653,0.1707,1.0,1.0,1.2172
34,0.0772,0.1976,0.9975,1.0,1.2744
35,0.1156,0.2874,0.9504,1.0,1.2003
36,0.0782,0.2012,0.9924,1.0,1.2306
37,0.0893,0.224,0.9834,1.0,1.1803
38,0.098,0.2454,0.9447,1.0,1.2166
39,0.0768,0.1973,0.9733,1.0,1.1921
3,0.0867,0.2099,0.9977,1.0,1.2196
40,0.09,0.2329,0.9924,1.0,1.2575
41,0.0927,0.2347,0.9837,1.0,1.2578
42,0.0886,0.2326,0.997,1.0,1.2483
43,0.0915,0.239,0.9901,1.0,1.1899
44,0.1028,0.2661,0.9917,1.0,1.2103
45,0.0953,0.2505,0.9947,1.0,1.2037
46,0.0977,0.2524,0.988,1.0,1.2429
47,0.0886,0.2301,0.985,1.0,1.2706
48,0.0951,0.2468,0.9887,1.0,1.2316
49,0.1027,0.2645,0.9802,1.0,1.1906
4,0.0763,0.1842,1.0,1.0,1.2063
50,0.0928,0.2392,0.9829,1.0,1.2472
51,0.066,0.1789,0.9976,0.9989,1.2184
52,0.0939,0.2463,0.9964,0.998,1.2759
53,0.0685,0.1837,0.9984,1.0,1.2779
54,0.0723,0.1946,0.9986,1.0,1.3122
55,0.0779,0.2081,0.9982,1.0,1.2589
56,0.0754,0.2038,0.9984,1.0,1.2865
57,0.0659,0.1813,0.9989,1.0,1.2823
58,0.063,0.1735,0.9993,1.0,1.5231
59,0.0637,0.1737,0.9986,1.0,1.5468
5,0.0875,0.2175,0.998,1.0,1.4627
60,0.0548,0.1516,0.9984,0.9998,1.2665
61,0.0557,0.1563,0.9964,0.9991,1.2676
62,0.0563,0.1578,0.9952,0.9989,1.249
63,0.0627,0.1768,0.994,0.9989,1.2635
64,0.0656,0.1832,0.9947,0.9977,1.2471
65,0.0591,0.1653,0.992,0.9975,1.3549
66,0.0611,0.1718,0.991,0.9975,1.2386
67,0.0626,0.1807,0.9837,0.994,1.454
68,0.0728,0.2062,0.983,0.9931,1.3743
69,0.0871,0.2416,0.9787,0.9927,1.2081
6,0.0872,0.22,0.9966,1.0,1.2381
70,0.079,0.2353,0.9727,0.9903,1.227
71,0.0911,0.2555,0.9746,0.9911,1.2262
72,0.0698,0.2246,0.9691,0.9875,1.4551
73,0.0847,0.2573,0.9684,0.9854,1.5249
74,0.0846,0.2521,0.9691,0.9863,1.2216
75,0.0855,0.2529,0.968,0.9849,1.2708
76,0.0842,0.2619,0.9641,0.9817,1.3952
77,0.066,0.233,0.9629,0.9833,1.4713
78,0.0934,0.282,0.9592,0.9796,1.8497
79,0.0851,0.2721,0.9521,0.9799,1.4835
7,0.0987,0.2519,0.9772,1.0,1.2557
80,0.1126,0.337,0.9541,0.9723,1.3957
81,0.107,0.3275,0.9531,0.9723,1.4412
82,0.1106,0.3286,0.9543,0.9721,1.2093
83,0.1126,0.3324,0.953,0.9726,1.2008
84,0.105,0.3199,0.9539,0.9734,1.6747
85,0.1009,0.3161,0.9535,0.9725,1.318
8,0.093,0.2176,0.9928,1.0,1.719
9,0.0865,0.2035,0.9734,1.0,1.9494
