Image_ID,ARE,RMSE,delta<1.25,delta<1.25^2,Inference_Time(s)
10,0.19195324,0.63873255,0.7694300518134715,1.0,8.0744
11,0.103390805,0.35326704,0.9962467745718977,1.0,8.2762
12,0.076351345,0.26859337,0.9986449864498645,1.0,8.5008
13,0.081512295,0.28167927,0.9986143187066975,1.0,8.8414
14,0.073578924,0.25795966,0.9986191024165708,1.0,9.3016
15,0.06700291,0.23816653,0.9986194201564658,1.0,12.13
16,0.08622295,0.29885882,0.9976990335941095,1.0,12.8332
17,0.095439255,0.32715726,0.9972375690607734,1.0,11.3461
18,0.10401975,0.35324016,0.9965261695229273,1.0,11.3912
19,0.11289525,0.38468283,0.9951501154734411,1.0,12.1075
1,0.07993483,0.29893252,0.9942761745766754,1.0,11.9453
20,0.121256776,0.41005847,0.9930491195551436,1.0,11.9418
21,0.07762306,0.26858592,0.9986013986013986,1.0,11.6722
22,0.18495321,0.6187384,0.7713342762847714,1.0,12.0965
23,0.27197906,0.9173197,0.0,0.990729736154029,12.5742
24,0.27681658,0.93353283,0.0,0.9864350309376487,12.432
25,0.21731725,0.73641974,0.2121499762695776,1.0,12.1196
26,0.18966332,0.6531875,0.7345385347288297,1.0,12.3383
27,0.18555054,0.6392244,0.8241313660161828,1.0,12.1768
28,0.08375373,0.32165274,0.9890188589162091,1.0,12.3942
29,0.07907149,0.31301,0.9883249940433643,1.0,11.7353
2,0.08321556,0.31340265,0.9907385419140347,1.0,12.6563
30,0.020700574,0.1515726,0.9990476190476191,1.0,12.7731
31,0.020540303,0.13359886,1.0,1.0,12.6868
32,0.018689593,0.13282552,1.0,1.0,11.6428
33,0.03666079,0.16239405,0.9997588618278274,1.0,12.6265
34,0.04309281,0.16608806,1.0,1.0,12.6528
35,0.036613762,0.15808658,1.0,1.0,12.6553
36,0.042984158,0.1645121,1.0,1.0,12.6458
37,0.047614336,0.18083528,1.0,1.0,12.6549
38,0.045379423,0.18120597,1.0,1.0,12.6455
3,0.0639685,0.25377533,0.9954675572519084,1.0,12.3542
4,0.10607363,0.38186872,0.985021398002853,1.0,12.3407
5,0.10908934,0.38685364,0.9880841121495327,1.0,12.6408
6,0.14545858,0.5091683,0.9565019357777271,1.0,12.619
7,0.1413175,0.4952519,0.9586609750617838,1.0,12.3874
8,0.19546518,0.66295606,0.7345342498222328,0.9997629770087698,12.3216
9,0.18053341,0.6100407,0.7851553236898269,1.0,12.6533
