Image_ID,ARE,RMSE,delta<1.25,delta<1.25^2,Inference_Time(s)
10,0.03320172,0.13965538,1.0,1.0,0.3793
11,0.032456085,0.13095368,1.0,1.0,0.3881
12,0.026004262,0.119201206,1.0,1.0,0.3541
13,0.024376733,0.10942893,1.0,1.0,0.3461
14,0.023721954,0.09862709,1.0,1.0,0.4513
15,0.021481417,0.08834516,1.0,1.0,0.4031
16,0.025823804,0.16007608,0.9995092024539878,0.9995092024539878,7.2208
17,0.030627206,0.4999885,0.9895555015788196,0.9895555015788196,0.3401
18,0.028604394,0.5034576,0.9895529640427599,0.9895529640427599,0.3439
19,0.060679972,0.5172737,0.9909866017052376,0.9909866017052376,0.4585
1,0.031447854,0.124382466,1.0,1.0,6.8526
20,0.024908705,0.3431743,0.9958485958485959,0.9958485958485959,0.3609
21,0.033448346,0.12168165,1.0,1.0,0.3476
22,0.042727508,0.15037163,1.0,1.0,0.3614
23,0.052231763,0.17065561,1.0,1.0,6.3845
24,0.05737937,0.1838588,1.0,1.0,0.3359
25,0.05550268,0.17853537,1.0,1.0,0.3464
26,0.053838637,0.17381826,1.0,1.0,0.3612
27,0.053726558,0.17275028,1.0,1.0,0.3922
28,0.054303844,0.1754647,1.0,1.0,0.3487
29,0.0556097,0.17968823,1.0,1.0,0.5233
2,0.031476725,0.12586504,1.0,1.0,0.3917
30,0.049447786,0.16617097,1.0,1.0,0.5306
31,0.028426874,0.11013889,1.0,1.0,6.0244
32,0.033550024,0.12349648,1.0,1.0,0.3817
33,0.037654094,0.13569239,1.0,1.0,0.4839
34,0.039232202,0.14059258,1.0,1.0,0.3886
35,0.03900474,0.1388426,1.0,1.0,0.3791
36,0.03724434,0.13645269,1.0,1.0,0.4908
37,0.029171059,0.10773907,1.0,1.0,0.3567
38,0.035010677,0.13217406,1.0,1.0,0.3602
39,0.024455875,0.09037267,1.0,1.0,0.5068
3,0.031273633,0.12225592,1.0,1.0,0.4697
40,0.057750523,0.18650039,1.0,1.0,6.2877
41,0.058851983,0.18676339,1.0,1.0,0.4784
42,0.06452648,0.20601927,1.0,1.0,0.3543
43,0.06066933,0.20482486,1.0,1.0,0.3596
44,0.058478996,0.18930489,1.0,1.0,0.4212
45,0.057443142,0.18955432,1.0,1.0,0.3752
46,0.06227231,0.20234303,1.0,1.0,0.3579
47,0.05510855,0.19181497,1.0,1.0,0.3675
48,0.03957739,0.13702998,1.0,1.0,6.0955
49,0.04062345,0.13712718,1.0,1.0,0.4847
4,0.031024413,0.12130477,1.0,1.0,0.3341
50,0.043394364,0.15078534,1.0,1.0,0.5055
51,0.053119153,0.19033808,1.0,1.0,0.3682
52,0.044274323,0.14994526,1.0,1.0,0.387
53,0.047969807,0.16479445,1.0,1.0,0.4784
54,0.04798978,0.15956579,1.0,1.0,0.4046
55,0.042504486,0.14105143,1.0,1.0,0.3739
56,0.06047201,0.19936815,1.0,1.0,6.0539
57,0.04783927,0.15697582,1.0,1.0,0.4512
58,0.049221043,0.16474353,1.0,1.0,0.4952
59,0.048310846,0.15713587,1.0,1.0,0.5461
5,0.028513353,0.11252995,1.0,1.0,0.356
60,0.048349205,0.1607182,1.0,1.0,0.5692
6,0.029880963,0.11573174,1.0,1.0,0.4076
7,0.03498882,0.15306506,1.0,1.0,0.3328
8,0.03170246,0.11955847,1.0,1.0,6.4992
9,0.028472519,0.12137731,1.0,1.0,0.328
