image_index,inference_start,inference_end,inference_duration_sec
1,2026-02-03T12:10:22.355025,2026-02-03T12:10:22.745414,0.390389
2,2026-02-03T12:10:29.965111,2026-02-03T12:10:30.446870,0.481759
3,2026-02-03T12:10:30.610347,2026-02-03T12:10:30.990791,0.380444
4,2026-02-03T12:10:31.165331,2026-02-03T12:10:31.636727,0.471396
5,2026-02-03T12:10:31.885368,2026-02-03T12:10:32.223671,0.338303
6,2026-02-03T12:10:32.382035,2026-02-03T12:10:32.707152,0.325117
7,2026-02-03T12:10:32.839442,2026-02-03T12:10:33.167370,0.327928
8,2026-02-03T12:10:40.614708,2026-02-03T12:10:41.028858,0.41415
9,2026-02-03T12:10:41.151782,2026-02-03T12:10:41.482534,0.330752
10,2026-02-03T12:10:41.642257,2026-02-03T12:10:42.169761,0.527504
11,2026-02-03T12:10:42.334540,2026-02-03T12:10:42.860557,0.526017
12,2026-02-03T12:10:43.108412,2026-02-03T12:10:43.598716,0.490304
13,2026-02-03T12:10:51.232513,2026-02-03T12:10:51.589495,0.356982
14,2026-02-03T12:10:51.732977,2026-02-03T12:10:52.129457,0.39648
15,2026-02-03T12:10:52.302326,2026-02-03T12:10:52.806276,0.50395
16,2026-02-03T12:10:52.936546,2026-02-03T12:10:53.484705,0.548159
17,2026-02-03T12:10:53.634635,2026-02-03T12:10:53.975847,0.341212
18,2026-02-03T12:11:01.466149,2026-02-03T12:11:02.012839,0.54669
19,2026-02-03T12:11:02.252553,2026-02-03T12:11:02.600097,0.347544
20,2026-02-03T12:11:02.750841,2026-02-03T12:11:03.092796,0.341955
21,2026-02-03T12:11:03.255393,2026-02-03T12:11:03.781578,0.526185
22,2026-02-03T12:11:03.915194,2026-02-03T12:11:04.415866,0.500672
23,2026-02-03T12:11:12.311912,2026-02-03T12:11:12.646358,0.334446
24,2026-02-03T12:11:12.797619,2026-02-03T12:11:13.162047,0.364428
25,2026-02-03T12:11:13.388787,2026-02-03T12:11:13.745777,0.35699
26,2026-02-03T12:11:13.904991,2026-02-03T12:11:14.269496,0.364505
27,2026-02-03T12:11:14.406523,2026-02-03T12:11:14.767407,0.360884
28,2026-02-03T12:11:22.575626,2026-02-03T12:11:22.924216,0.34859
29,2026-02-03T12:11:23.106085,2026-02-03T12:11:23.558271,0.452186
30,2026-02-03T12:11:23.722753,2026-02-03T12:11:24.130056,0.407303
31,2026-02-03T12:11:24.296786,2026-02-03T12:11:24.745081,0.448295
32,2026-02-03T12:11:24.995105,2026-02-03T12:11:25.381090,0.385985
33,2026-02-03T12:11:33.051069,2026-02-03T12:11:33.536435,0.485366
34,2026-02-03T12:11:33.699808,2026-02-03T12:11:34.050849,0.351041
35,2026-02-03T12:11:34.183230,2026-02-03T12:11:34.534335,0.351105
36,2026-02-03T12:11:34.714600,2026-02-03T12:11:35.129562,0.414962
37,2026-02-03T12:11:35.294348,2026-02-03T12:11:35.674364,0.380016
38,2026-02-03T12:11:43.771368,2026-02-03T12:11:44.740992,0.969624
