img_idx,a,b,equation,infer_time
1,2.8875455616818324,1.461273681321403,y = 2.8875 * x + 1.4613,7.4559
2,2.8875455616818324,1.461273681321403,y = 2.8875 * x + 1.4613,0.4895
3,2.8875455616818324,1.461273681321403,y = 2.8875 * x + 1.4613,0.3884
4,2.8875455616818324,1.461273681321403,y = 2.8875 * x + 1.4613,0.4793
5,2.8875455616818324,1.461273681321403,y = 2.8875 * x + 1.4613,0.3461
6,2.8875455616818324,1.461273681321403,y = 2.8875 * x + 1.4613,0.3321
7,2.172780747165052,1.7525427776743847,y = 2.1728 * x + 1.7525,7.6058
8,2.172780747165052,1.7525427776743847,y = 2.1728 * x + 1.7525,0.4207
9,2.172780747165052,1.7525427776743847,y = 2.1728 * x + 1.7525,0.3385
10,2.172780747165052,1.7525427776743847,y = 2.1728 * x + 1.7525,0.5343
11,2.172780747165052,1.7525427776743847,y = 2.1728 * x + 1.7525,0.5347
12,2.1013449947243106,1.7851037624563542,y = 2.1013 * x + 1.7851,7.952
13,2.1013449947243106,1.7851037624563542,y = 2.1013 * x + 1.7851,0.3649
14,2.1013449947243106,1.7851037624563542,y = 2.1013 * x + 1.7851,0.4053
15,2.1013449947243106,1.7851037624563542,y = 2.1013 * x + 1.7851,0.5107
16,2.1013449947243106,1.7851037624563542,y = 2.1013 * x + 1.7851,0.5549
17,1.4670354992136416,2.1194732105961953,y = 1.4670 * x + 2.1195,7.6551
18,1.4670354992136416,2.1194732105961953,y = 1.4670 * x + 2.1195,0.5551
19,1.4670354992136416,2.1194732105961953,y = 1.4670 * x + 2.1195,0.3561
20,1.4670354992136416,2.1194732105961953,y = 1.4670 * x + 2.1195,0.3489
21,1.4670354992136416,2.1194732105961953,y = 1.4670 * x + 2.1195,0.5332
22,1.6785403372707792,1.92076695240126,y = 1.6785 * x + 1.9208,8.2603
23,1.6785403372707792,1.92076695240126,y = 1.6785 * x + 1.9208,0.3432
24,1.6785403372707792,1.92076695240126,y = 1.6785 * x + 1.9208,0.3726
25,1.6785403372707792,1.92076695240126,y = 1.6785 * x + 1.9208,0.3661
26,1.6785403372707792,1.92076695240126,y = 1.6785 * x + 1.9208,0.3724
27,2.8519941345760937,1.4567699154013716,y = 2.8520 * x + 1.4568,7.9969
28,2.8519941345760937,1.4567699154013716,y = 2.8520 * x + 1.4568,0.3555
29,2.8519941345760937,1.4567699154013716,y = 2.8520 * x + 1.4568,0.4612
30,2.8519941345760937,1.4567699154013716,y = 2.8520 * x + 1.4568,0.4166
31,2.8519941345760937,1.4567699154013716,y = 2.8520 * x + 1.4568,0.4549
32,3.3078189886466633,1.207656474872424,y = 3.3078 * x + 1.2077,7.8767
33,3.3078189886466633,1.207656474872424,y = 3.3078 * x + 1.2077,0.4937
34,3.3078189886466633,1.207656474872424,y = 3.3078 * x + 1.2077,0.3583
35,3.3078189886466633,1.207656474872424,y = 3.3078 * x + 1.2077,0.3607
36,3.3078189886466633,1.207656474872424,y = 3.3078 * x + 1.2077,0.4221
37,2.8116803358952076,1.5046620544705605,y = 2.8117 * x + 1.5047,8.2597
38,2.8116803358952076,1.5046620544705605,y = 2.8117 * x + 1.5047,0.9822
