image_index,timestamp,target_u,target_v,target_tilt_rad,target_pan_rad,actual_tilt_rad,actual_pan_rad,point_index,lidar_distance,camera_depth,midas_rel_depth,real_u,real_v,uncertainty,sequence_duration_sec
1,2026-02-03T12:37:57.726414,596,340,1.7826069428019289,1.228056246953619,1.7840196563110007,1.2256506495206272,0,4.18,3.6711647910055953,0.5390390753746033,584.4204136776373,377.95739424268874,0.009116590023040771,6.234307
1,2026-02-03T12:37:58.590516,33,32,1.3019829685261948,2.0121086361404563,1.3023496889149093,2.00951483213019,1,6.29,5.5622369150674364,0.7876008749008179,54.590829780073115,93.08375369140394,0.008672401309013367,6.234307
1,2026-02-03T12:37:59.375582,348,331,1.7608118320938146,1.582348735769707,1.761009944492716,1.5830681730979816,2,4.73,4.528509610990407,0.5835617184638977,347.77611904963345,371.25816372530153,0.0077025145292282104,6.234307
1,2026-02-03T12:38:00.174735,587,24,1.343590317009337,1.2053406219844987,1.3437671701878218,1.2041749184902284,3,6.14,5.453942324174914,0.8147580027580261,573.3581855263427,84.95521936343377,0.007949218153953552,6.234307
1,2026-02-03T12:38:00.766083,212,45,1.3194793391016149,1.7593426891534125,1.3222914391574228,1.7564080021290591,4,5.81,5.535723899947345,0.8091458678245544,222.58065204745927,106.64537552826147,0.006671547889709473,6.234307
1,2026-02-03T12:38:01.535278,603,220,1.6178045744596399,1.206012943044906,1.6198837120072371,1.2072428800659996,5,6.02,5.432837952758849,0.7549446225166321,586.7510830449553,270.2615717465983,0.025532791391015053,6.234307
1,2026-02-03T12:38:02.160545,452,371,1.8243571795817415,1.431400563592724,1.825437137583913,1.4296700943094176,6,3.4,3.1237698738180057,0.3994408845901489,448.03012304327785,404.64366307428344,0.00524294376373291,6.234307
1,2026-02-03T12:38:02.751953,419,24,1.3108817761267348,1.4413286355779482,1.3115535736422232,1.4388739790367313,7,5.8,5.487643261914372,0.8094152212142944,416.42084812493204,85.32081122825969,0.005116567015647888,6.234307
5,2026-02-03T12:38:07.442703,544,289,1.7118594455275489,1.2918140949179362,1.7119225592803755,1.2931458041875956,0,5.81,5.350631859306819,0.749910295009613,531.2889421706441,333.4822225338703,0.006732933223247528,5.297842
5,2026-02-03T12:38:07.907207,582,372,1.8255547446079514,1.2498777174074436,1.8269711183717987,1.248660361338912,1,3.41,2.971297630462707,0.3978496789932251,571.4323173898447,405.11829407652516,0.005685001611709595,5.297842
