Image_ID,ARE,RMSE,delta<1.25,delta<1.25^2,Inference_Time(s)
10,0.14096558,0.5363709,0.8195168166745618,1.0,8.673
11,0.1545983,0.5648238,0.8392814937367052,1.0,8.5757
12,0.1839067,0.66333747,0.8266195524146054,1.0,9.4523
13,0.11398361,0.41319335,0.959860788863109,1.0,9.8041
14,0.11617158,0.41519234,0.9967494775946134,1.0,14.0218
15,0.0972263,0.34962258,0.9993058769088385,1.0,13.8636
16,0.09825322,0.35271156,1.0,1.0,13.4903
17,0.10436545,0.37348488,0.9921532425571198,1.0,13.3392
18,0.12618366,0.45151216,0.913508486398512,1.0,12.5015
19,0.12165124,0.44349557,0.9616921269095182,1.0,12.201
1,0.15062487,0.569134,0.8157584335928285,1.0,12.5798
20,0.1005017,0.38756207,0.9879574970484062,1.0,13.7479
21,0.077074766,0.3043389,0.9964505442498817,1.0,12.5787
22,0.098425746,0.37834963,0.9922133081642284,1.0,12.6074
23,0.11837184,0.4512204,0.9068941009239516,1.0,13.3068
24,0.08683465,0.35962301,0.9845385347288297,1.0,13.2891
25,0.026363712,0.15411764,0.9997625267157445,1.0,13.6807
26,0.03602349,0.1977321,0.9988106565176023,1.0,14.6597
27,0.0435233,0.22029288,0.9992872416250891,1.0,15.7064
28,0.039510418,0.19924824,0.9992899408284024,1.0,14.5231
29,0.039651394,0.21160378,0.9988112220637185,1.0,14.0425
2,0.16185178,0.6099645,0.8034572578735496,1.0,13.2978
30,0.055476427,0.27758655,0.9933269780743565,1.0,13.0944
31,0.033218116,0.17331053,0.9997628083491461,1.0,13.4491
32,0.036576852,0.20889421,0.9983325393044307,1.0,13.4239
33,0.035698954,0.20210694,0.9980961446930033,1.0,12.873
34,0.030828115,0.19388013,0.9976213130352045,1.0,12.0105
35,0.034389522,0.19922283,0.9990462565569862,1.0,14.2163
36,0.035017606,0.1996779,0.9990363767766803,1.0,14.223
37,0.030554999,0.15205798,1.0,1.0,13.1908
38,0.034453288,0.17187925,0.9997656982193065,1.0,12.7514
3,0.1295241,0.50347096,0.8228400735294118,1.0,12.3755
4,0.15403304,0.5802494,0.8115232097037556,1.0,12.9415
5,0.16433303,0.6149571,0.8038077548177386,1.0,12.5003
6,0.15438592,0.58089477,0.815359477124183,1.0,12.0556
7,0.13921201,0.52913314,0.8243436754176611,1.0,11.7685
8,0.06370898,0.28916422,0.9942925089179548,1.0,12.6205
9,0.07155053,0.3174277,0.9911207103431725,1.0,13.2392
