img_idx,a,b,equation,infer_time
1,1.4879871697792741,1.3380863258994835,y = 1.4880 * x + 1.3381,6.3005
2,1.4879871697792741,1.3380863258994835,y = 1.4880 * x + 1.3381,0.3369
3,1.4879871697792741,1.3380863258994835,y = 1.4880 * x + 1.3381,0.342
4,1.4879871697792741,1.3380863258994835,y = 1.4880 * x + 1.3381,0.3299
5,1.4879871697792741,1.3380863258994835,y = 1.4880 * x + 1.3381,0.3369
6,1.4879871697792741,1.3380863258994835,y = 1.4880 * x + 1.3381,0.3442
7,1.4879871697792741,1.3380863258994835,y = 1.4880 * x + 1.3381,0.484
8,1.4879871697792741,1.3380863258994835,y = 1.4880 * x + 1.3381,0.4488
9,1.5620030324854985,1.2571795327420747,y = 1.5620 * x + 1.2572,5.8396
10,1.5620030324854985,1.2571795327420747,y = 1.5620 * x + 1.2572,0.3461
11,1.5620030324854985,1.2571795327420747,y = 1.5620 * x + 1.2572,0.3568
12,1.5620030324854985,1.2571795327420747,y = 1.5620 * x + 1.2572,0.3817
13,1.5620030324854985,1.2571795327420747,y = 1.5620 * x + 1.2572,0.4487
14,1.5620030324854985,1.2571795327420747,y = 1.5620 * x + 1.2572,0.3621
15,1.5620030324854985,1.2571795327420747,y = 1.5620 * x + 1.2572,0.4423
16,1.5620030324854985,1.2571795327420747,y = 1.5620 * x + 1.2572,0.358
17,1.5620030324854985,1.2571795327420747,y = 1.5620 * x + 1.2572,0.3847
18,1.217346794286843,1.4068281232449045,y = 1.2173 * x + 1.4068,6.1448
19,1.217346794286843,1.4068281232449045,y = 1.2173 * x + 1.4068,0.3635
20,1.217346794286843,1.4068281232449045,y = 1.2173 * x + 1.4068,0.4425
21,1.217346794286843,1.4068281232449045,y = 1.2173 * x + 1.4068,0.3742
22,1.217346794286843,1.4068281232449045,y = 1.2173 * x + 1.4068,0.3795
23,1.217346794286843,1.4068281232449045,y = 1.2173 * x + 1.4068,0.3687
24,1.217346794286843,1.4068281232449045,y = 1.2173 * x + 1.4068,0.3876
25,1.217346794286843,1.4068281232449045,y = 1.2173 * x + 1.4068,0.3727
26,1.4619209530575998,1.3955153234966735,y = 1.4619 * x + 1.3955,6.3753
27,1.4619209530575998,1.3955153234966735,y = 1.4619 * x + 1.3955,0.35
28,1.4619209530575998,1.3955153234966735,y = 1.4619 * x + 1.3955,0.356
29,1.4619209530575998,1.3955153234966735,y = 1.4619 * x + 1.3955,0.3765
30,1.4619209530575998,1.3955153234966735,y = 1.4619 * x + 1.3955,0.4529
31,1.4619209530575998,1.3955153234966735,y = 1.4619 * x + 1.3955,0.3828
32,1.4619209530575998,1.3955153234966735,y = 1.4619 * x + 1.3955,0.4555
33,1.4619209530575998,1.3955153234966735,y = 1.4619 * x + 1.3955,0.5872
34,1.2826483105690192,1.494681479858884,y = 1.2826 * x + 1.4947,5.9821
35,1.2826483105690192,1.494681479858884,y = 1.2826 * x + 1.4947,0.4026
36,1.2826483105690192,1.494681479858884,y = 1.2826 * x + 1.4947,0.3717
37,1.2826483105690192,1.494681479858884,y = 1.2826 * x + 1.4947,0.4731
38,1.2826483105690192,1.494681479858884,y = 1.2826 * x + 1.4947,0.3741
39,1.2826483105690192,1.494681479858884,y = 1.2826 * x + 1.4947,0.5794
40,1.2826483105690192,1.494681479858884,y = 1.2826 * x + 1.4947,0.4651
41,1.2826483105690192,1.494681479858884,y = 1.2826 * x + 1.4947,0.3765
42,1.032121072725057,1.6507421253219325,y = 1.0321 * x + 1.6507,5.8465
43,1.032121072725057,1.6507421253219325,y = 1.0321 * x + 1.6507,0.3748
44,1.032121072725057,1.6507421253219325,y = 1.0321 * x + 1.6507,0.5224
45,1.032121072725057,1.6507421253219325,y = 1.0321 * x + 1.6507,0.4003
46,1.032121072725057,1.6507421253219325,y = 1.0321 * x + 1.6507,0.4475
47,1.032121072725057,1.6507421253219325,y = 1.0321 * x + 1.6507,0.3777
48,1.032121072725057,1.6507421253219325,y = 1.0321 * x + 1.6507,0.4167
49,1.032121072725057,1.6507421253219325,y = 1.0321 * x + 1.6507,0.3834
50,0.9019795992755784,1.8684741206987483,y = 0.9020 * x + 1.8685,6.221
51,0.9019795992755784,1.8684741206987483,y = 0.9020 * x + 1.8685,0.4022
52,0.9019795992755784,1.8684741206987483,y = 0.9020 * x + 1.8685,0.3792
53,0.9019795992755784,1.8684741206987483,y = 0.9020 * x + 1.8685,0.4209
54,0.9019795992755784,1.8684741206987483,y = 0.9020 * x + 1.8685,0.369
55,0.9019795992755784,1.8684741206987483,y = 0.9020 * x + 1.8685,0.5735
56,0.9019795992755784,1.8684741206987483,y = 0.9020 * x + 1.8685,0.4651
57,0.9019795992755784,1.8684741206987483,y = 0.9020 * x + 1.8685,0.3806
58,1.551063797695267,1.3441356198633758,y = 1.5511 * x + 1.3441,6.8576
59,1.551063797695267,1.3441356198633758,y = 1.5511 * x + 1.3441,0.4891
60,1.551063797695267,1.3441356198633758,y = 1.5511 * x + 1.3441,0.3817
61,1.551063797695267,1.3441356198633758,y = 1.5511 * x + 1.3441,0.5276
62,1.551063797695267,1.3441356198633758,y = 1.5511 * x + 1.3441,0.3827
63,1.551063797695267,1.3441356198633758,y = 1.5511 * x + 1.3441,0.4205
64,1.1130779211397943,1.5635239576461872,y = 1.1131 * x + 1.5635,6.1697
65,1.1130779211397943,1.5635239576461872,y = 1.1131 * x + 1.5635,0.3691
66,1.1130779211397943,1.5635239576461872,y = 1.1131 * x + 1.5635,0.3951
67,1.1130779211397943,1.5635239576461872,y = 1.1131 * x + 1.5635,0.3864
68,1.1130779211397943,1.5635239576461872,y = 1.1131 * x + 1.5635,0.5353
69,1.1130779211397943,1.5635239576461872,y = 1.1131 * x + 1.5635,0.3845
70,1.1130779211397943,1.5635239576461872,y = 1.1131 * x + 1.5635,0.3824
71,1.1130779211397943,1.5635239576461872,y = 1.1131 * x + 1.5635,0.454
72,1.033955018939169,1.689803879905907,y = 1.0340 * x + 1.6898,6.6379
73,1.033955018939169,1.689803879905907,y = 1.0340 * x + 1.6898,0.3667
74,1.033955018939169,1.689803879905907,y = 1.0340 * x + 1.6898,0.3822
75,1.033955018939169,1.689803879905907,y = 1.0340 * x + 1.6898,0.3812
76,1.033955018939169,1.689803879905907,y = 1.0340 * x + 1.6898,0.4586
77,1.033955018939169,1.689803879905907,y = 1.0340 * x + 1.6898,0.3945
78,1.033955018939169,1.689803879905907,y = 1.0340 * x + 1.6898,0.4518
79,-0.04151565839704018,2.1364247683467372,y = -0.0415 * x + 2.1364,6.2536
80,-0.04151565839704018,2.1364247683467372,y = -0.0415 * x + 2.1364,0.5901
81,-0.04151565839704018,2.1364247683467372,y = -0.0415 * x + 2.1364,0.6144
82,-0.04151565839704018,2.1364247683467372,y = -0.0415 * x + 2.1364,0.5281
83,-0.04151565839704018,2.1364247683467372,y = -0.0415 * x + 2.1364,0.5448
84,-0.04151565839704018,2.1364247683467372,y = -0.0415 * x + 2.1364,0.4037
85,1.1754075107827036,1.6645431735309595,y = 1.1754 * x + 1.6645,7.2206
