image_index,inference_start,inference_end,inference_duration_sec
1,2026-02-03T13:39:20.817395,2026-02-03T13:39:21.142964,0.325569
2,2026-02-03T13:39:27.254867,2026-02-03T13:39:27.584672,0.329805
3,2026-02-03T13:39:27.712072,2026-02-03T13:39:28.045870,0.333798
4,2026-02-03T13:39:28.278129,2026-02-03T13:39:28.600889,0.32276
5,2026-02-03T13:39:28.747626,2026-02-03T13:39:29.076635,0.329009
6,2026-02-03T13:39:29.214062,2026-02-03T13:39:29.551011,0.336949
7,2026-02-03T13:39:29.712028,2026-02-03T13:39:30.188228,0.4762
8,2026-02-03T13:39:30.348966,2026-02-03T13:39:30.789702,0.440736
9,2026-02-03T13:39:30.946186,2026-02-03T13:39:31.333886,0.3877
10,2026-02-03T13:39:37.026731,2026-02-03T13:39:37.365182,0.338451
11,2026-02-03T13:39:37.516991,2026-02-03T13:39:37.866574,0.349583
12,2026-02-03T13:39:38.000958,2026-02-03T13:39:38.374505,0.373547
13,2026-02-03T13:39:38.490843,2026-02-03T13:39:38.932508,0.441665
14,2026-02-03T13:39:39.074903,2026-02-03T13:39:39.428201,0.353298
15,2026-02-03T13:39:39.687440,2026-02-03T13:39:40.121079,0.433639
16,2026-02-03T13:39:40.262137,2026-02-03T13:39:40.612468,0.350331
17,2026-02-03T13:39:40.767817,2026-02-03T13:39:41.144980,0.377163
18,2026-02-03T13:39:41.299272,2026-02-03T13:39:41.686378,0.387106
19,2026-02-03T13:39:47.583107,2026-02-03T13:39:47.938557,0.35545
20,2026-02-03T13:39:48.185540,2026-02-03T13:39:48.619912,0.434372
21,2026-02-03T13:39:48.773158,2026-02-03T13:39:49.139734,0.366576
22,2026-02-03T13:39:49.277250,2026-02-03T13:39:49.648410,0.37116
23,2026-02-03T13:39:49.779685,2026-02-03T13:39:50.139953,0.360268
24,2026-02-03T13:39:50.286397,2026-02-03T13:39:50.665664,0.379267
25,2026-02-03T13:39:50.808713,2026-02-03T13:39:51.172594,0.363881
26,2026-02-03T13:39:51.398095,2026-02-03T13:39:51.761723,0.363628
27,2026-02-03T13:39:57.890657,2026-02-03T13:39:58.233343,0.342686
28,2026-02-03T13:39:58.351379,2026-02-03T13:39:58.699760,0.348381
29,2026-02-03T13:39:58.832394,2026-02-03T13:39:59.200477,0.368083
30,2026-02-03T13:39:59.327789,2026-02-03T13:39:59.770256,0.442467
31,2026-02-03T13:39:59.928569,2026-02-03T13:40:00.303156,0.374587
32,2026-02-03T13:40:00.553159,2026-02-03T13:40:00.999437,0.446278
33,2026-02-03T13:40:01.172541,2026-02-03T13:40:01.750014,0.577473
34,2026-02-03T13:40:01.934065,2026-02-03T13:40:02.315969,0.381904
35,2026-02-03T13:40:08.070659,2026-02-03T13:40:08.465011,0.394352
36,2026-02-03T13:40:08.608913,2026-02-03T13:40:08.972504,0.363591
37,2026-02-03T13:40:09.214626,2026-02-03T13:40:09.680623,0.465997
38,2026-02-03T13:40:09.826602,2026-02-03T13:40:10.193426,0.366824
39,2026-02-03T13:40:10.310677,2026-02-03T13:40:10.881361,0.570684
40,2026-02-03T13:40:11.041679,2026-02-03T13:40:11.499554,0.457875
41,2026-02-03T13:40:11.612903,2026-02-03T13:40:11.981271,0.368368
42,2026-02-03T13:40:12.113539,2026-02-03T13:40:12.493246,0.379707
43,2026-02-03T13:40:18.206144,2026-02-03T13:40:18.573801,0.367657
44,2026-02-03T13:40:18.697734,2026-02-03T13:40:19.212143,0.514409
45,2026-02-03T13:40:19.332677,2026-02-03T13:40:19.724528,0.391851
46,2026-02-03T13:40:19.878148,2026-02-03T13:40:20.318365,0.440217
47,2026-02-03T13:40:20.469671,2026-02-03T13:40:20.839888,0.370217
48,2026-02-03T13:40:21.082704,2026-02-03T13:40:21.491482,0.408778
49,2026-02-03T13:40:21.641260,2026-02-03T13:40:22.016318,0.375058
50,2026-02-03T13:40:22.132128,2026-02-03T13:40:22.649869,0.517741
51,2026-02-03T13:40:28.486562,2026-02-03T13:40:28.881334,0.394772
52,2026-02-03T13:40:29.010883,2026-02-03T13:40:29.382708,0.371825
53,2026-02-03T13:40:29.510947,2026-02-03T13:40:29.924536,0.413589
54,2026-02-03T13:40:30.141989,2026-02-03T13:40:30.501218,0.359229
55,2026-02-03T13:40:30.648824,2026-02-03T13:40:31.213839,0.565015
56,2026-02-03T13:40:31.378062,2026-02-03T13:40:31.835932,0.45787
57,2026-02-03T13:40:31.981838,2026-02-03T13:40:32.353827,0.371989
58,2026-02-03T13:40:32.479550,2026-02-03T13:40:32.851407,0.371857
59,2026-02-03T13:40:39.500151,2026-02-03T13:40:39.981707,0.481556
60,2026-02-03T13:40:40.226022,2026-02-03T13:40:40.599849,0.373827
61,2026-02-03T13:40:40.740590,2026-02-03T13:40:41.259973,0.519383
62,2026-02-03T13:40:41.401422,2026-02-03T13:40:41.775884,0.374462
63,2026-02-03T13:40:41.916433,2026-02-03T13:40:42.328599,0.412166
64,2026-02-03T13:40:42.502079,2026-02-03T13:40:42.871704,0.369625
65,2026-02-03T13:40:48.925189,2026-02-03T13:40:49.286061,0.360872
66,2026-02-03T13:40:49.421226,2026-02-03T13:40:49.808262,0.387036
67,2026-02-03T13:40:49.943652,2026-02-03T13:40:50.321993,0.378341
68,2026-02-03T13:40:50.459853,2026-02-03T13:40:50.986041,0.526188
69,2026-02-03T13:40:51.127461,2026-02-03T13:40:51.501113,0.373652
70,2026-02-03T13:40:51.655349,2026-02-03T13:40:52.028481,0.373132
71,2026-02-03T13:40:52.289724,2026-02-03T13:40:52.735271,0.445547
72,2026-02-03T13:40:52.887330,2026-02-03T13:40:53.259287,0.371957
73,2026-02-03T13:40:59.660277,2026-02-03T13:41:00.017664,0.357387
74,2026-02-03T13:41:00.162662,2026-02-03T13:41:00.536089,0.373427
75,2026-02-03T13:41:00.667746,2026-02-03T13:41:01.036850,0.369104
76,2026-02-03T13:41:01.195056,2026-02-03T13:41:01.645566,0.45051
77,2026-02-03T13:41:01.880146,2026-02-03T13:41:02.266028,0.385882
78,2026-02-03T13:41:02.393144,2026-02-03T13:41:02.837042,0.443898
79,2026-02-03T13:41:02.972014,2026-02-03T13:41:03.355362,0.383348
80,2026-02-03T13:41:09.350579,2026-02-03T13:41:09.931496,0.580917
81,2026-02-03T13:41:10.119024,2026-02-03T13:41:10.724191,0.605167
82,2026-02-03T13:41:10.973340,2026-02-03T13:41:11.492256,0.518916
83,2026-02-03T13:41:11.672541,2026-02-03T13:41:12.208527,0.535986
84,2026-02-03T13:41:12.350676,2026-02-03T13:41:12.745724,0.395048
85,2026-02-03T13:41:12.890269,2026-02-03T13:41:13.863386,0.973117
