img_idx,a,b,equation,infer_time
1,1.4778690007951807,1.8250027165624936,y = 1.4779 * x + 1.8250,8.1203
2,1.4778690007951807,1.8250027165624936,y = 1.4779 * x + 1.8250,0.386
3,1.4778690007951807,1.8250027165624936,y = 1.4779 * x + 1.8250,0.3294
4,1.4778690007951807,1.8250027165624936,y = 1.4779 * x + 1.8250,0.3252
5,1.4778690007951807,1.8250027165624936,y = 1.4779 * x + 1.8250,0.3578
6,1.4986092432978524,1.9795086805425894,y = 1.4986 * x + 1.9795,7.2933
7,1.4986092432978524,1.9795086805425894,y = 1.4986 * x + 1.9795,0.4589
8,1.4986092432978524,1.9795086805425894,y = 1.4986 * x + 1.9795,0.3458
9,1.4986092432978524,1.9795086805425894,y = 1.4986 * x + 1.9795,0.3368
10,1.4986092432978524,1.9795086805425894,y = 1.4986 * x + 1.9795,0.3629
11,1.4986092432978524,1.9795086805425894,y = 1.4986 * x + 1.9795,0.3491
12,0.6665016295741092,2.392544291313428,y = 0.6665 * x + 2.3925,7.0343
13,0.6665016295741092,2.392544291313428,y = 0.6665 * x + 2.3925,0.3363
14,0.6665016295741092,2.392544291313428,y = 0.6665 * x + 2.3925,0.3549
15,0.6665016295741092,2.392544291313428,y = 0.6665 * x + 2.3925,0.4216
16,0.6665016295741092,2.392544291313428,y = 0.6665 * x + 2.3925,0.35
17,0.6665016295741092,2.392544291313428,y = 0.6665 * x + 2.3925,0.3522
18,0.6665016295741092,2.392544291313428,y = 0.6665 * x + 2.3925,0.3661
19,2.127987659413594,1.7435078519159237,y = 2.1280 * x + 1.7435,7.9925
20,2.127987659413594,1.7435078519159237,y = 2.1280 * x + 1.7435,0.3661
21,2.127987659413594,1.7435078519159237,y = 2.1280 * x + 1.7435,0.4299
22,2.127987659413594,1.7435078519159237,y = 2.1280 * x + 1.7435,0.3519
23,2.127987659413594,1.7435078519159237,y = 2.1280 * x + 1.7435,0.357
24,2.7452523462690217,1.6120221683585194,y = 2.7453 * x + 1.6120,10.5256
25,2.7452523462690217,1.6120221683585194,y = 2.7453 * x + 1.6120,0.3375
26,2.7452523462690217,1.6120221683585194,y = 2.7453 * x + 1.6120,0.3945
27,2.7452523462690217,1.6120221683585194,y = 2.7453 * x + 1.6120,0.3577
28,2.7452523462690217,1.6120221683585194,y = 2.7453 * x + 1.6120,0.3442
29,2.7452523462690217,1.6120221683585194,y = 2.7453 * x + 1.6120,0.3566
30,1.8349590383913639,1.3408667266739696,y = 1.8350 * x + 1.3409,7.0223
31,1.8349590383913639,1.3408667266739696,y = 1.8350 * x + 1.3409,0.4512
32,1.8349590383913639,1.3408667266739696,y = 1.8350 * x + 1.3409,0.3683
33,1.8349590383913639,1.3408667266739696,y = 1.8350 * x + 1.3409,0.4036
34,1.8349590383913639,1.3408667266739696,y = 1.8350 * x + 1.3409,0.3689
35,1.8349590383913639,1.3408667266739696,y = 1.8350 * x + 1.3409,0.3535
36,1.8349590383913639,1.3408667266739696,y = 1.8350 * x + 1.3409,0.4243
37,2.1574290489164554,1.310633077967978,y = 2.1574 * x + 1.3106,7.0573
38,2.1574290489164554,1.310633077967978,y = 2.1574 * x + 1.3106,0.3655
39,2.1574290489164554,1.310633077967978,y = 2.1574 * x + 1.3106,1.123
