Image_ID,ARE,RMSE,delta<1.25,delta<1.25^2,Inference_Time(s)
10,0.06748235,0.26022875,1.0,1.0,0.3317
11,0.086550884,0.32964495,1.0,1.0,0.3323
12,0.08753644,0.33105078,0.9997644287396937,1.0,0.4484
13,0.09117852,0.34118563,1.0,1.0,7.6249
14,0.1003562,0.3797329,1.0,1.0,0.4316
15,0.09830371,0.36887044,1.0,1.0,0.3755
16,0.09620123,0.36388898,1.0,1.0,0.3342
17,0.09892205,0.37502575,0.9976921301638587,1.0,0.354
18,0.09425042,0.35450333,0.9953499186235759,1.0,0.4367
19,0.051471304,0.20088418,1.0,1.0,7.1095
1,0.049512595,0.26738444,0.9893842887473461,1.0,7.5414
20,0.044356853,0.18566713,1.0,1.0,0.3385
21,0.045726757,0.19185093,1.0,1.0,0.4793
22,0.04194703,0.18265556,1.0,1.0,0.3448
23,0.044257604,0.19490154,1.0,1.0,0.3653
24,0.045069728,0.2007902,1.0,1.0,0.4196
25,0.044155955,0.19397746,1.0,1.0,0.3579
26,0.069674,0.267702,1.0,1.0,8.153
27,0.07054225,0.28397563,1.0,1.0,0.3613
28,0.07651055,0.30683976,1.0,1.0,0.3682
29,0.076777495,0.31015208,1.0,1.0,0.5458
2,0.049986158,0.2640701,0.9917120530428605,1.0,0.4021
30,0.034453664,0.20153739,0.9973784556720686,1.0,7.0621
31,0.04220694,0.2448366,0.993595825426945,1.0,0.3428
32,0.041346025,0.2399462,0.9947594092424964,1.0,0.4229
33,0.040554058,0.24033424,0.9950023798191338,1.0,0.3637
34,0.043239206,0.24369204,0.994291151284491,1.0,0.3824
35,0.041369587,0.23668095,0.9959465903671912,1.0,0.3679
36,0.042240694,0.24138772,0.9949409780775716,1.0,0.4913
37,0.078564085,0.3112786,1.0,1.0,7.496
38,0.09899286,0.39372474,1.0,1.0,0.9414
3,0.05277151,0.2864969,0.9852941176470589,1.0,0.321
4,0.04950345,0.26095554,0.9923023093072079,1.0,0.3252
5,0.054397106,0.27369672,0.9911771534710936,1.0,0.3236
6,0.05111421,0.2680456,0.992296918767507,1.0,0.3271
7,0.07150865,0.276071,1.0,1.0,7.4286
8,0.07382892,0.29574138,1.0,1.0,0.427
9,0.075069286,0.29933158,1.0,1.0,0.3424
