Image_ID,ARE,RMSE,delta<1.25,delta<1.25^2,Inference_Time(s)
10,0.034155365,0.070707865,1.0,1.0,8.8019
11,0.0346146,0.07177864,1.0,1.0,8.7988
12,0.0343201,0.070902854,1.0,1.0,9.0518
13,0.034864012,0.07163902,1.0,1.0,9.6878
14,0.03337062,0.06925331,1.0,1.0,9.9298
15,0.04359548,0.08728845,1.0,1.0,12.4479
16,0.035683572,0.07258648,1.0,1.0,11.4891
17,0.029883789,0.061061222,1.0,1.0,10.2764
18,0.027674114,0.05550883,1.0,1.0,10.9394
19,0.028439011,0.057826277,1.0,1.0,10.7041
1,0.039882556,0.07965228,1.0,1.0,12.0695
20,0.027570782,0.055454504,1.0,1.0,11.7884
21,0.027953247,0.05593305,1.0,1.0,11.8177
22,0.027334657,0.0554074,1.0,1.0,11.3157
23,0.03645379,0.07678517,1.0,1.0,11.3895
24,0.030120583,0.06379,1.0,1.0,11.404
25,0.03292023,0.07150917,1.0,1.0,11.522
26,0.037009057,0.07713255,1.0,1.0,11.7593
27,0.04277183,0.09190673,0.9931198102016607,1.0,11.7276
28,0.044830386,0.09559247,0.9931198102016607,1.0,11.6352
29,0.030660434,0.07440575,0.9940348365545216,1.0,12.1313
2,0.037486475,0.07581761,1.0,1.0,11.9766
30,0.035600707,0.08575181,0.9914387633769323,1.0,12.0041
31,0.036543418,0.09083065,0.9893568840579711,1.0,11.8142
32,0.05326031,0.12478843,0.9863109048723898,1.0,12.1792
33,0.036964852,0.08758605,0.9933020763563295,1.0,11.3475
34,0.049786307,0.10753943,0.9919488515273502,1.0,12.8183
35,0.045424312,0.10123996,0.9912155745489079,1.0,11.9484
36,0.04804384,0.104440965,0.9921671018276762,1.0,11.0915
37,0.04261009,0.097867414,0.99146110056926,1.0,11.9665
38,0.046733882,0.103090115,0.9917100900047371,1.0,12.7912
39,0.03635394,0.08527855,0.9995255041518387,1.0,11.7153
3,0.038648378,0.07807654,1.0,1.0,12.4407
40,0.069430135,0.13696124,0.9914712153518124,1.0,12.1539
41,0.04997324,0.104424335,0.9988718411552346,1.0,12.8628
42,0.061552085,0.12446424,0.9950295857988166,1.0,11.3098
43,0.062936656,0.1277966,0.9919697685403873,1.0,11.5504
44,0.054463737,0.113391794,0.9933158271663881,1.0,11.963
45,0.056893133,0.11654906,0.9966848212171442,1.0,11.6832
46,0.049523458,0.10385763,0.9997635933806147,1.0,12.1014
47,0.048768025,0.10439375,1.0,1.0,11.527
48,0.038115464,0.0863535,1.0,1.0,12.6354
49,0.029279243,0.07695365,0.9907473309608541,1.0,11.7853
4,0.039701384,0.08021008,1.0,1.0,12.4683
50,0.03493582,0.083234146,0.9909973939824686,1.0,11.3206
51,0.03508863,0.083884194,0.9897813688212928,1.0,12.5375
52,0.04226241,0.086963005,1.0,1.0,12.2659
53,0.04085751,0.08351724,0.9995251661918328,1.0,12.1099
54,0.038747072,0.08071412,1.0,1.0,11.8138
55,0.034931324,0.07219014,1.0,1.0,11.6834
56,0.034966454,0.0718969,1.0,1.0,11.4984
57,0.036064014,0.07410034,1.0,1.0,12.0749
58,0.02879087,0.059306923,1.0,1.0,12.1289
59,0.02874013,0.05879419,1.0,1.0,11.7954
5,0.04204201,0.08406381,1.0,1.0,11.407
60,0.029896721,0.06141764,1.0,1.0,12.3432
61,0.031759307,0.06411836,1.0,1.0,12.2174
62,0.04005968,0.9604436,0.9862884160756501,0.9862884160756501,12.6363
63,0.06948923,1.2433995,0.9491166077738515,0.967020023557126,12.5277
64,0.063964106,1.2471055,0.9489482391869535,0.9652564405577878,11.7396
65,0.0662206,1.2298554,0.9502593116454503,0.9658180103724658,12.2287
66,0.067972414,1.2509468,0.9489964580873672,0.9662337662337662,12.6839
67,0.06476116,1.241009,0.9498580889309366,0.9647587511825922,11.9677
68,0.06707028,1.2383728,0.9488086812927577,0.9624911535739561,11.1308
69,0.066183425,1.2308887,0.9511422755032798,0.9656186383171228,12.2498
6,0.038020737,0.07677966,1.0,1.0,12.7592
70,0.058356345,1.2395337,0.948051948051948,0.9631641086186541,12.4181
7,0.03916261,0.078852676,1.0,1.0,12.5935
8,0.035585288,0.07158724,1.0,1.0,12.642
9,0.03610597,0.07450464,1.0,1.0,13.4763
