Image_ID,ARE,RMSE,delta<1.25,delta<1.25^2,Inference_Time(s)
10,0.0313,0.1675,1.0,1.0,1.1838
11,0.0333,0.1774,0.9993,1.0,1.2779
12,0.0248,0.1458,0.9996,1.0,1.2084
13,0.0333,0.1809,0.9998,1.0,1.0878
14,0.0322,0.1738,0.9993,1.0,1.0961
15,0.0246,0.1476,0.9993,1.0,1.106
16,0.0294,0.1745,0.9996,1.0,1.1152
17,0.0264,0.162,0.9995,1.0,1.2876
18,0.0253,0.1655,0.9993,1.0,1.2396
19,0.0262,0.1714,0.9993,1.0,1.2203
1,0.0242,0.2366,0.995,1.0,1.1829
20,0.0229,0.1631,0.9995,1.0,1.308
21,0.0224,0.1602,0.9991,1.0,1.177
22,0.0223,0.1663,0.9989,1.0,1.1646
23,0.0239,0.1691,0.9986,1.0,1.1788
24,0.0207,0.164,0.9993,1.0,1.184
25,0.0253,0.1764,0.9991,1.0,1.2246
26,0.0247,0.1757,0.9991,1.0,1.1994
27,0.0232,0.1792,0.9989,1.0,1.2112
28,0.0256,0.1797,0.9991,1.0,1.2372
29,0.0298,0.198,0.9987,1.0,1.2201
2,0.0168,0.2297,0.9937,1.0,1.2467
30,0.0302,0.2026,0.9989,1.0,1.2736
31,0.0321,0.2117,0.9975,1.0,1.2754
32,0.0304,0.2133,0.9944,1.0,1.2813
33,0.0305,0.2154,0.9944,1.0,1.2091
34,0.0263,0.1917,0.9955,1.0,1.2109
35,0.0257,0.1921,0.9967,1.0,1.2012
36,0.0275,0.2076,0.9939,1.0,1.2233
37,0.033,0.2336,0.9941,1.0,1.2569
38,0.0273,0.198,0.9975,1.0,1.2332
39,0.0303,0.2123,0.9978,1.0,1.2918
3,0.0187,0.2206,0.995,1.0,1.2838
40,0.0295,0.21,0.9982,1.0,1.3291
41,0.0289,0.2183,0.9953,1.0,1.2792
42,0.0303,0.2245,0.993,1.0,1.2957
43,0.032,0.2337,0.9935,1.0,1.3332
44,0.0321,0.2348,0.9928,1.0,1.2965
45,0.0294,0.2149,0.9952,1.0,1.2826
46,0.0302,0.2248,0.9932,1.0,1.2722
47,0.0317,0.2319,0.9933,1.0,1.3339
48,0.0292,0.2255,0.9928,1.0,1.2265
49,0.0253,0.197,0.9969,1.0,1.3004
4,0.0208,0.2644,0.9896,1.0,1.2511
50,0.0238,0.1961,0.9937,1.0,1.2264
51,0.0277,0.2098,0.9971,1.0,1.2536
52,0.0254,0.2064,0.993,1.0,1.272
53,0.0267,0.2081,0.9937,1.0,1.5142
54,0.0267,0.2108,0.9932,1.0,1.3899
55,0.0328,0.2377,0.9935,1.0,1.9836
56,0.0349,0.2546,0.993,1.0,1.3354
57,0.0338,0.2416,0.9939,1.0,1.8452
5,0.0238,0.2521,0.9885,1.0,1.4278
6,0.0278,0.1987,0.9968,1.0,1.4243
7,0.0262,0.2029,0.9959,1.0,1.3553
8,0.0285,0.2057,0.9962,1.0,1.8283
9,0.028,0.2503,0.991,1.0,1.3781
