image_index,inference_start,inference_end,inference_duration_sec
1,2026-02-03T12:23:48.143291,2026-02-03T12:23:48.491261,0.34797
2,2026-02-03T12:23:56.055493,2026-02-03T12:23:56.454293,0.3988
3,2026-02-03T12:23:56.578063,2026-02-03T12:23:56.883500,0.305437
4,2026-02-03T12:23:57.021910,2026-02-03T12:23:57.336479,0.314569
5,2026-02-03T12:23:57.587690,2026-02-03T12:23:58.047526,0.459836
6,2026-02-03T12:23:58.221452,2026-02-03T12:23:58.542892,0.32144
7,2026-02-03T12:24:05.525471,2026-02-03T12:24:05.846619,0.321148
8,2026-02-03T12:24:05.982484,2026-02-03T12:24:06.343786,0.361302
9,2026-02-03T12:24:06.503643,2026-02-03T12:24:06.852159,0.348516
10,2026-02-03T12:24:06.981606,2026-02-03T12:24:07.296488,0.314882
11,2026-02-03T12:24:07.506897,2026-02-03T12:24:07.832741,0.325844
12,2026-02-03T12:24:07.952636,2026-02-03T12:24:08.357436,0.4048
13,2026-02-03T12:24:08.487027,2026-02-03T12:24:08.843404,0.356377
14,2026-02-03T12:24:16.237637,2026-02-03T12:24:16.562900,0.325263
15,2026-02-03T12:24:16.690146,2026-02-03T12:24:17.007391,0.317245
16,2026-02-03T12:24:17.130214,2026-02-03T12:24:17.462121,0.331907
17,2026-02-03T12:24:17.589231,2026-02-03T12:24:17.968343,0.379112
18,2026-02-03T12:24:18.204400,2026-02-03T12:24:18.666121,0.461721
19,2026-02-03T12:24:18.793065,2026-02-03T12:24:19.263272,0.470207
20,2026-02-03T12:24:26.418527,2026-02-03T12:24:26.822193,0.403666
21,2026-02-03T12:24:26.965686,2026-02-03T12:24:27.410419,0.444733
22,2026-02-03T12:24:27.532636,2026-02-03T12:24:27.873575,0.340939
23,2026-02-03T12:24:28.001684,2026-02-03T12:24:28.352781,0.351097
24,2026-02-03T12:24:28.500567,2026-02-03T12:24:28.852079,0.351512
25,2026-02-03T12:24:29.089865,2026-02-03T12:24:29.422530,0.332665
26,2026-02-03T12:24:36.490651,2026-02-03T12:24:36.859506,0.368855
27,2026-02-03T12:24:37.016012,2026-02-03T12:24:37.524746,0.508734
28,2026-02-03T12:24:37.691260,2026-02-03T12:24:38.078895,0.387635
29,2026-02-03T12:24:38.214588,2026-02-03T12:24:38.610873,0.396285
30,2026-02-03T12:24:38.739762,2026-02-03T12:24:39.078632,0.33887
31,2026-02-03T12:24:39.205843,2026-02-03T12:24:39.721645,0.515802
32,2026-02-03T12:24:46.482202,2026-02-03T12:24:46.820196,0.337994
33,2026-02-03T12:24:46.949640,2026-02-03T12:24:47.293535,0.343895
34,2026-02-03T12:24:47.460186,2026-02-03T12:24:47.834884,0.374698
35,2026-02-03T12:24:48.016980,2026-02-03T12:24:48.451419,0.434439
36,2026-02-03T12:24:48.588284,2026-02-03T12:24:48.936304,0.34802
37,2026-02-03T12:24:49.119788,2026-02-03T12:24:49.524090,0.404302
38,2026-02-03T12:24:49.771784,2026-02-03T12:24:50.125645,0.353861
39,2026-02-03T12:24:57.532040,2026-02-03T12:24:57.918965,0.386925
40,2026-02-03T12:24:58.068404,2026-02-03T12:24:58.408220,0.339816
41,2026-02-03T12:24:58.554975,2026-02-03T12:24:58.895374,0.340399
42,2026-02-03T12:24:59.020891,2026-02-03T12:24:59.459464,0.438573
43,2026-02-03T12:24:59.586010,2026-02-03T12:24:59.943831,0.357821
44,2026-02-03T12:25:00.122952,2026-02-03T12:25:00.570698,0.447746
45,2026-02-03T12:25:07.675330,2026-02-03T12:25:08.025572,0.350242
46,2026-02-03T12:25:08.165053,2026-02-03T12:25:08.525416,0.360363
47,2026-02-03T12:25:08.679775,2026-02-03T12:25:09.029821,0.350046
48,2026-02-03T12:25:09.171279,2026-02-03T12:25:09.540266,0.368987
49,2026-02-03T12:25:09.675849,2026-02-03T12:25:10.125489,0.44964
50,2026-02-03T12:25:10.305314,2026-02-03T12:25:10.710909,0.405595
51,2026-02-03T12:25:18.236772,2026-02-03T12:25:18.680355,0.443583
52,2026-02-03T12:25:18.802899,2026-02-03T12:25:19.153745,0.350846
53,2026-02-03T12:25:19.304564,2026-02-03T12:25:19.857058,0.552494
54,2026-02-03T12:25:20.009652,2026-02-03T12:25:20.367280,0.357628
55,2026-02-03T12:25:20.509588,2026-02-03T12:25:20.888635,0.379047
56,2026-02-03T12:25:27.716634,2026-02-03T12:25:28.048201,0.331567
57,2026-02-03T12:25:28.177243,2026-02-03T12:25:28.542060,0.364817
58,2026-02-03T12:25:28.813053,2026-02-03T12:25:29.153530,0.340477
59,2026-02-03T12:25:29.281182,2026-02-03T12:25:29.659818,0.378636
60,2026-02-03T12:25:29.779777,2026-02-03T12:25:30.154441,0.374664
61,2026-02-03T12:25:30.279364,2026-02-03T12:25:30.637362,0.357998
62,2026-02-03T12:25:30.782628,2026-02-03T12:25:31.138021,0.355393
63,2026-02-03T12:25:38.529188,2026-02-03T12:25:38.894494,0.365306
64,2026-02-03T12:25:39.126097,2026-02-03T12:25:40.160001,1.033904
