img_idx,a,b,equation,infer_time
1,2.3373956210364684,1.3146326040004823,y = 2.3374 * x + 1.3146,7.7683
2,2.3373956210364684,1.3146326040004823,y = 2.3374 * x + 1.3146,0.4055
3,2.3373956210364684,1.3146326040004823,y = 2.3374 * x + 1.3146,0.3126
4,2.3373956210364684,1.3146326040004823,y = 2.3374 * x + 1.3146,0.3224
5,2.3373956210364684,1.3146326040004823,y = 2.3374 * x + 1.3146,0.4674
6,-0.6061382592294979,2.8600610193663334,y = -0.6061 * x + 2.8601,7.1796
7,-0.6061382592294979,2.8600610193663334,y = -0.6061 * x + 2.8601,0.3284
8,-0.6061382592294979,2.8600610193663334,y = -0.6061 * x + 2.8601,0.3705
9,-0.6061382592294979,2.8600610193663334,y = -0.6061 * x + 2.8601,0.3551
10,-0.6061382592294979,2.8600610193663334,y = -0.6061 * x + 2.8601,0.3215
11,-0.6061382592294979,2.8600610193663334,y = -0.6061 * x + 2.8601,0.3324
12,-0.6061382592294979,2.8600610193663334,y = -0.6061 * x + 2.8601,0.4122
13,-0.13675574349303812,2.8017477099071533,y = -0.1368 * x + 2.8017,7.6155
14,-0.13675574349303812,2.8017477099071533,y = -0.1368 * x + 2.8017,0.3317
15,-0.13675574349303812,2.8017477099071533,y = -0.1368 * x + 2.8017,0.3239
16,-0.13675574349303812,2.8017477099071533,y = -0.1368 * x + 2.8017,0.3391
17,-0.13675574349303812,2.8017477099071533,y = -0.1368 * x + 2.8017,0.3862
18,-0.13675574349303812,2.8017477099071533,y = -0.1368 * x + 2.8017,0.4681
19,2.1599888937101124,1.763371394483894,y = 2.1600 * x + 1.7634,7.4693
20,2.1599888937101124,1.763371394483894,y = 2.1600 * x + 1.7634,0.4132
21,2.1599888937101124,1.763371394483894,y = 2.1600 * x + 1.7634,0.4525
22,2.1599888937101124,1.763371394483894,y = 2.1600 * x + 1.7634,0.3481
23,2.1599888937101124,1.763371394483894,y = 2.1600 * x + 1.7634,0.3584
24,2.1599888937101124,1.763371394483894,y = 2.1600 * x + 1.7634,0.3586
25,1.2529095046677372,2.046550117042416,y = 1.2529 * x + 2.0466,7.2516
26,1.2529095046677372,2.046550117042416,y = 1.2529 * x + 2.0466,0.3766
27,1.2529095046677372,2.046550117042416,y = 1.2529 * x + 2.0466,0.5171
28,1.2529095046677372,2.046550117042416,y = 1.2529 * x + 2.0466,0.3955
29,1.2529095046677372,2.046550117042416,y = 1.2529 * x + 2.0466,0.4038
30,1.2529095046677372,2.046550117042416,y = 1.2529 * x + 2.0466,0.3464
31,2.1375357730007076,1.5711493585766565,y = 2.1375 * x + 1.5711,6.9944
32,2.1375357730007076,1.5711493585766565,y = 2.1375 * x + 1.5711,0.346
33,2.1375357730007076,1.5711493585766565,y = 2.1375 * x + 1.5711,0.3529
34,2.1375357730007076,1.5711493585766565,y = 2.1375 * x + 1.5711,0.3827
35,2.1375357730007076,1.5711493585766565,y = 2.1375 * x + 1.5711,0.4424
36,2.1375357730007076,1.5711493585766565,y = 2.1375 * x + 1.5711,0.3584
37,2.1375357730007076,1.5711493585766565,y = 2.1375 * x + 1.5711,0.4113
38,2.9352238490632843,1.3224937581391625,y = 2.9352 * x + 1.3225,7.6091
39,2.9352238490632843,1.3224937581391625,y = 2.9352 * x + 1.3225,0.3938
40,2.9352238490632843,1.3224937581391625,y = 2.9352 * x + 1.3225,0.3471
41,2.9352238490632843,1.3224937581391625,y = 2.9352 * x + 1.3225,0.3473
42,2.9352238490632843,1.3224937581391625,y = 2.9352 * x + 1.3225,0.4458
43,2.9352238490632843,1.3224937581391625,y = 2.9352 * x + 1.3225,0.365
44,-1.1130703591018993,3.4275255880750066,y = -1.1131 * x + 3.4275,7.3224
45,-1.1130703591018993,3.4275255880750066,y = -1.1131 * x + 3.4275,0.3589
46,-1.1130703591018993,3.4275255880750066,y = -1.1131 * x + 3.4275,0.3689
47,-1.1130703591018993,3.4275255880750066,y = -1.1131 * x + 3.4275,0.3599
48,-1.1130703591018993,3.4275255880750066,y = -1.1131 * x + 3.4275,0.3768
49,-1.1130703591018993,3.4275255880750066,y = -1.1131 * x + 3.4275,0.4574
50,1.0225495930243527,2.1068682178016607,y = 1.0225 * x + 2.1069,7.6516
51,1.0225495930243527,2.1068682178016607,y = 1.0225 * x + 2.1069,0.4504
52,1.0225495930243527,2.1068682178016607,y = 1.0225 * x + 2.1069,0.3582
53,1.0225495930243527,2.1068682178016607,y = 1.0225 * x + 2.1069,0.5596
54,1.0225495930243527,2.1068682178016607,y = 1.0225 * x + 2.1069,0.3647
55,1.024942036455821,2.2302086180907965,y = 1.0249 * x + 2.2302,7.0771
56,1.024942036455821,2.2302086180907965,y = 1.0249 * x + 2.2302,0.3389
57,1.024942036455821,2.2302086180907965,y = 1.0249 * x + 2.2302,0.372
58,1.024942036455821,2.2302086180907965,y = 1.0249 * x + 2.2302,0.3474
59,1.024942036455821,2.2302086180907965,y = 1.0249 * x + 2.2302,0.3864
60,1.024942036455821,2.2302086180907965,y = 1.0249 * x + 2.2302,0.3822
61,1.024942036455821,2.2302086180907965,y = 1.0249 * x + 2.2302,0.3661
62,1.0263004128229924,2.0246416927132533,y = 1.0263 * x + 2.0246,7.6036
63,1.0263004128229924,2.0246416927132533,y = 1.0263 * x + 2.0246,0.3736
64,1.0263004128229924,2.0246416927132533,y = 1.0263 * x + 2.0246,1.0419
