img_idx,a,b,equation,infer_time
1,2.4353866846576144,1.6631329817885308,y = 2.4354 * x + 1.6631,7.5088
2,2.4353866846576144,1.6631329817885308,y = 2.4354 * x + 1.6631,0.3283
3,2.4353866846576144,1.6631329817885308,y = 2.4354 * x + 1.6631,0.3343
4,2.4353866846576144,1.6631329817885308,y = 2.4354 * x + 1.6631,0.478
5,2.4353866846576144,1.6631329817885308,y = 2.4354 * x + 1.6631,0.4674
6,2.3761350916525537,1.6427142241828134,y = 2.3761 * x + 1.6427,7.0171
7,2.3761350916525537,1.6427142241828134,y = 2.3761 * x + 1.6427,0.3403
8,2.3761350916525537,1.6427142241828134,y = 2.3761 * x + 1.6427,0.3447
9,2.3761350916525537,1.6427142241828134,y = 2.3761 * x + 1.6427,0.347
10,2.3761350916525537,1.6427142241828134,y = 2.3761 * x + 1.6427,0.3412
11,2.3761350916525537,1.6427142241828134,y = 2.3761 * x + 1.6427,0.3674
12,2.3761350916525537,1.6427142241828134,y = 2.3761 * x + 1.6427,0.3768
13,1.6053564187698353,2.14658553804791,y = 1.6054 * x + 2.1466,6.7698
14,1.6053564187698353,2.14658553804791,y = 1.6054 * x + 2.1466,0.3288
15,1.6053564187698353,2.14658553804791,y = 1.6054 * x + 2.1466,0.3367
16,1.6053564187698353,2.14658553804791,y = 1.6054 * x + 2.1466,0.3399
17,1.6053564187698353,2.14658553804791,y = 1.6054 * x + 2.1466,0.331
18,1.6053564187698353,2.14658553804791,y = 1.6054 * x + 2.1466,0.3379
19,1.6053564187698353,2.14658553804791,y = 1.6054 * x + 2.1466,0.3547
20,1.6053564187698353,2.14658553804791,y = 1.6054 * x + 2.1466,0.3544
21,2.2273065856240892,1.8210823169823933,y = 2.2273 * x + 1.8211,7.8747
22,2.2273065856240892,1.8210823169823933,y = 2.2273 * x + 1.8211,0.3432
23,2.2273065856240892,1.8210823169823933,y = 2.2273 * x + 1.8211,0.3432
24,2.2273065856240892,1.8210823169823933,y = 2.2273 * x + 1.8211,0.3458
25,2.2273065856240892,1.8210823169823933,y = 2.2273 * x + 1.8211,0.4083
26,2.2273065856240892,1.8210823169823933,y = 2.2273 * x + 1.8211,0.3541
27,1.811477485384483,1.7919541378186028,y = 1.8115 * x + 1.7920,8.7852
28,1.811477485384483,1.7919541378186028,y = 1.8115 * x + 1.7920,0.3492
29,1.811477485384483,1.7919541378186028,y = 1.8115 * x + 1.7920,0.3927
30,1.811477485384483,1.7919541378186028,y = 1.8115 * x + 1.7920,0.3716
31,1.656130124056231,1.8876365806451991,y = 1.6561 * x + 1.8876,7.7491
32,1.656130124056231,1.8876365806451991,y = 1.6561 * x + 1.8876,0.4857
33,1.656130124056231,1.8876365806451991,y = 1.6561 * x + 1.8876,0.3872
34,1.656130124056231,1.8876365806451991,y = 1.6561 * x + 1.8876,0.362
35,1.656130124056231,1.8876365806451991,y = 1.6561 * x + 1.8876,0.4254
36,2.526405669188175,1.4507653151280915,y = 2.5264 * x + 1.4508,7.3358
37,2.526405669188175,1.4507653151280915,y = 2.5264 * x + 1.4508,0.3397
38,2.526405669188175,1.4507653151280915,y = 2.5264 * x + 1.4508,0.3445
39,2.526405669188175,1.4507653151280915,y = 2.5264 * x + 1.4508,0.3649
40,2.526405669188175,1.4507653151280915,y = 2.5264 * x + 1.4508,0.3504
41,2.526405669188175,1.4507653151280915,y = 2.5264 * x + 1.4508,0.3566
42,2.526405669188175,1.4507653151280915,y = 2.5264 * x + 1.4508,0.3467
43,2.1961942523083318,1.7025235408683848,y = 2.1962 * x + 1.7025,8.3575
44,2.1961942523083318,1.7025235408683848,y = 2.1962 * x + 1.7025,0.3566
45,2.1961942523083318,1.7025235408683848,y = 2.1962 * x + 1.7025,0.3492
