Image_ID,ARE,RMSE,delta<1.25,delta<1.25^2,Inference_Time(s)
10,0.4465,1.1254,0.3698,0.3702,1.1134
11,0.4479,1.1299,0.3689,0.3716,1.0386
12,0.4433,1.117,0.3707,0.3709,1.0524
13,0.435,1.0945,0.3723,0.3723,1.0602
14,0.4272,1.0756,0.373,0.373,1.0433
15,0.4236,1.0682,0.3709,0.3737,1.0615
16,0.436,1.098,0.3714,0.3714,1.0871
17,0.4324,1.0907,0.3726,0.3726,1.0998
18,0.4067,1.0239,0.371,0.371,1.1102
19,0.3917,1.0034,0.3724,0.3724,1.1198
1,0.4359,1.1007,0.3713,0.3718,1.1687
20,0.3948,1.0074,0.3719,0.3719,1.155
21,0.3946,1.0068,0.3761,0.3763,1.1458
22,0.4171,1.078,0.3324,0.3752,1.1679
23,0.3866,0.9784,0.372,0.3739,1.158
24,0.4086,1.0327,0.3751,0.3751,1.1342
25,0.4421,1.1229,0.3551,0.3721,1.1213
26,0.4424,1.1254,0.354,0.375,1.1198
27,0.4233,1.0815,0.3719,0.3733,1.1359
28,0.4525,1.152,0.3358,0.3738,1.1463
29,0.4396,1.115,0.3782,0.3793,1.2358
2,0.4494,1.1563,0.2388,0.3723,1.2339
30,0.4419,1.125,0.3762,0.3778,1.1739
31,0.4407,1.1391,0.3234,0.3806,1.1665
32,0.4344,1.1178,0.3772,0.3818,1.2237
33,0.4353,1.1182,0.3781,0.3818,1.3272
34,0.4549,1.1902,0.1678,0.3827,1.2721
35,0.4523,1.1738,0.3461,0.3807,1.2453
36,0.416,1.0815,0.3855,0.3864,1.2496
37,0.4116,1.072,0.3856,0.3872,1.185
38,0.4104,1.0817,0.3822,0.3853,1.1702
39,0.3832,1.0005,0.382,0.3831,1.2139
3,0.45,1.1621,0.2038,0.3713,1.2382
40,0.4046,1.0563,0.3837,0.3853,1.2394
41,0.3978,1.0382,0.3836,0.3847,1.1985
42,0.4058,1.0595,0.3836,0.3861,1.1922
43,0.423,1.1262,0.3285,0.385,1.2495
44,0.4268,1.1382,0.275,0.3833,1.2173
4,0.4473,1.1473,0.3133,0.3741,1.2044
5,0.4659,1.2041,0.1411,0.3714,1.1906
6,0.459,1.1743,0.2613,0.371,1.249
7,0.4363,1.0967,0.3726,0.3726,1.2358
8,0.4567,1.1622,0.3197,0.3708,1.2432
9,0.44,1.106,0.3714,0.3714,1.3237
