image_index,inference_start,inference_end,inference_duration_sec
1,2026-02-03T13:35:53.690548,2026-02-03T13:35:54.151283,0.460735
2,2026-02-03T13:36:00.428238,2026-02-03T13:36:00.777223,0.348985
3,2026-02-03T13:36:00.932948,2026-02-03T13:36:01.274914,0.341966
4,2026-02-03T13:36:01.429899,2026-02-03T13:36:01.745351,0.315452
5,2026-02-03T13:36:01.982735,2026-02-03T13:36:02.419206,0.436471
6,2026-02-03T13:36:02.548709,2026-02-03T13:36:02.887130,0.338421
7,2026-02-03T13:36:03.036405,2026-02-03T13:36:03.495559,0.459154
8,2026-02-03T13:36:03.630286,2026-02-03T13:36:04.106486,0.4762
9,2026-02-03T13:36:04.277809,2026-02-03T13:36:04.620764,0.342955
10,2026-02-03T13:36:10.480034,2026-02-03T13:36:10.967240,0.487206
11,2026-02-03T13:36:11.200356,2026-02-03T13:36:11.532061,0.331705
12,2026-02-03T13:36:11.674921,2026-02-03T13:36:12.042795,0.367874
13,2026-02-03T13:36:12.218307,2026-02-03T13:36:12.557919,0.339612
14,2026-02-03T13:36:12.697638,2026-02-03T13:36:13.044804,0.347166
15,2026-02-03T13:36:13.187770,2026-02-03T13:36:13.670154,0.482384
16,2026-02-03T13:36:13.889921,2026-02-03T13:36:14.219888,0.329967
17,2026-02-03T13:36:14.365765,2026-02-03T13:36:14.701090,0.335325
18,2026-02-03T13:36:20.466762,2026-02-03T13:36:20.839429,0.372667
19,2026-02-03T13:36:20.946051,2026-02-03T13:36:21.277835,0.331784
20,2026-02-03T13:36:21.420976,2026-02-03T13:36:21.748049,0.327073
21,2026-02-03T13:36:21.893003,2026-02-03T13:36:22.220863,0.32786
22,2026-02-03T13:36:22.359268,2026-02-03T13:36:22.684445,0.325177
23,2026-02-03T13:36:22.892524,2026-02-03T13:36:23.230557,0.338033
24,2026-02-03T13:36:23.365605,2026-02-03T13:36:23.695319,0.329714
25,2026-02-03T13:36:23.835256,2026-02-03T13:36:24.169076,0.33382
26,2026-02-03T13:36:24.316338,2026-02-03T13:36:24.786183,0.469845
27,2026-02-03T13:36:30.777417,2026-02-03T13:36:31.135310,0.357893
28,2026-02-03T13:36:31.272889,2026-02-03T13:36:31.627486,0.354597
29,2026-02-03T13:36:31.884947,2026-02-03T13:36:32.317430,0.432483
30,2026-02-03T13:36:32.437075,2026-02-03T13:36:32.780601,0.343526
31,2026-02-03T13:36:32.907333,2026-02-03T13:36:33.348211,0.440878
32,2026-02-03T13:36:33.477957,2026-02-03T13:36:33.957621,0.479664
33,2026-02-03T13:36:34.109267,2026-02-03T13:36:34.474239,0.364972
34,2026-02-03T13:36:34.621969,2026-02-03T13:36:35.008255,0.386286
35,2026-02-03T13:36:41.318806,2026-02-03T13:36:41.666549,0.347743
36,2026-02-03T13:36:41.794919,2026-02-03T13:36:42.167954,0.373035
37,2026-02-03T13:36:42.297957,2026-02-03T13:36:42.666841,0.368884
38,2026-02-03T13:36:42.808023,2026-02-03T13:36:43.298395,0.490372
39,2026-02-03T13:36:43.460212,2026-02-03T13:36:43.819344,0.359132
40,2026-02-03T13:36:44.083187,2026-02-03T13:36:44.504927,0.42174
41,2026-02-03T13:36:44.638100,2026-02-03T13:36:45.124451,0.486351
42,2026-02-03T13:36:51.181520,2026-02-03T13:36:51.569736,0.388216
43,2026-02-03T13:36:51.704519,2026-02-03T13:36:52.142295,0.437776
44,2026-02-03T13:36:52.304192,2026-02-03T13:36:52.689132,0.38494
45,2026-02-03T13:36:52.816877,2026-02-03T13:36:53.179252,0.362375
46,2026-02-03T13:36:53.323345,2026-02-03T13:36:53.821346,0.498001
47,2026-02-03T13:36:54.072615,2026-02-03T13:36:54.575179,0.502564
48,2026-02-03T13:36:54.745692,2026-02-03T13:36:55.234986,0.489294
49,2026-02-03T13:37:02.275410,2026-02-03T13:37:02.626625,0.351215
50,2026-02-03T13:37:02.766429,2026-02-03T13:37:03.167456,0.401027
51,2026-02-03T13:37:03.319736,2026-02-03T13:37:03.713257,0.393521
52,2026-02-03T13:37:03.863344,2026-02-03T13:37:04.232917,0.369573
53,2026-02-03T13:37:04.459772,2026-02-03T13:37:04.827943,0.368171
54,2026-02-03T13:37:04.981298,2026-02-03T13:37:05.339979,0.358681
55,2026-02-03T13:37:11.314293,2026-02-03T13:37:11.650038,0.335745
56,2026-02-03T13:37:11.766510,2026-02-03T13:37:12.224835,0.458325
57,2026-02-03T13:37:12.367755,2026-02-03T13:37:12.874809,0.507054
58,2026-02-03T13:37:13.016919,2026-02-03T13:37:13.378665,0.361746
59,2026-02-03T13:37:13.601238,2026-02-03T13:37:13.955511,0.354273
60,2026-02-03T13:37:14.079299,2026-02-03T13:37:14.442745,0.363446
61,2026-02-03T13:37:14.570890,2026-02-03T13:37:15.064853,0.493963
62,2026-02-03T13:37:15.206296,2026-02-03T13:37:15.660771,0.454475
63,2026-02-03T13:37:21.928054,2026-02-03T13:37:22.409799,0.481745
64,2026-02-03T13:37:22.678126,2026-02-03T13:37:23.211088,0.532962
65,2026-02-03T13:37:23.375948,2026-02-03T13:37:23.837828,0.46188
66,2026-02-03T13:37:23.999582,2026-02-03T13:37:24.588786,0.589204
67,2026-02-03T13:37:24.759374,2026-02-03T13:37:25.292123,0.532749
68,2026-02-03T13:37:25.449269,2026-02-03T13:37:25.909534,0.460265
69,2026-02-03T13:37:32.997626,2026-02-03T13:37:33.491606,0.49398
70,2026-02-03T13:37:34.245992,2026-02-03T13:37:34.654080,0.408088
